            Interval              Radial            Vertical
                   0                   0             3.84411
                   0                   0             3.84411
                   1           0.0314108             3.84362
                   2           0.0627905             3.84214
                   3           0.0941083             3.83968
                   4            0.125333             3.83623
                   5            0.156434              3.8318
                   6            0.187381              3.8264
                   7            0.218143             3.82003
                   8             0.24869              3.8127
                   9            0.278991             3.80441
                  10            0.309017             3.79517
                  11            0.338738             3.78499
                  12            0.368125             3.77389
                  13            0.397148             3.76187
                  14            0.425779             3.74894
                  15             0.45399             3.73512
                  16            0.481754             3.72042
                  17            0.509041             3.70486
                  18            0.535827             3.68844
                  19            0.562083             3.67119
                  20            0.587785             3.65313
                  21            0.612907             3.63427
                  22            0.637424             3.61463
                  23            0.661312             3.59422
                  24            0.684547             3.57308
                  25            0.707107             3.55122
                  26            0.728969             3.52866
                  27            0.750111             3.50542
                  28            0.770513             3.48154
                  29            0.790155             3.45702
                  30            0.809017              3.4319
                  31            0.827081              3.4062
                  32            0.844328             3.37994
                  33            0.860742             3.35315
                  34            0.876307             3.32587
                  35            0.891007              3.2981
                  36            0.904827             3.26989
                  37            0.917755             3.24126
                  38            0.929776             3.21224
                  39            0.940881             3.18285
                  40            0.951057             3.15313
                  41            0.960294              3.1231
                  42            0.968583              3.0928
                  43            0.975917             3.06226
                  44            0.982287             3.03149
                  45            0.987688             3.00055
                  46            0.992115             2.96945
                  47            0.995562             2.93822
                  48            0.998027              2.9069
                  49            0.999507             2.87552
                  50                   1             2.84411
                  51            0.999507              2.8127
                  52            0.998027             2.78132
                  53            0.995562                2.75
                  54            0.992115             2.71878
                  55            0.987688             2.68768
                  56            0.982287             2.65673
                  57            0.975917             2.62597
                  58            0.968583             2.59542
                  59            0.960294             2.56512
                  60            0.951057              2.5351
                  61            0.940881             2.50538
                  62            0.929776             2.47599
                  63            0.917755             2.44697
                  64            0.904827             2.41833
                  65            0.891007             2.39012
                  66            0.876307             2.36236
                  67            0.860742             2.33507
                  68            0.844328             2.30829
                  69            0.827081             2.28203
                  70            0.809017             2.25633
                  71            0.790155             2.23121
                  72            0.770513             2.20669
                  73            0.750111              2.1828
                  74            0.728969             2.15957
                  75            0.707107             2.13701
                  76            0.684547             2.11514
                  77            0.661312               2.094
                  78            0.637424              2.0736
                  79            0.612907             2.05396
                  80            0.587785              2.0351
                  81            0.562083             2.01703
                  82            0.535827             1.99979
                  83            0.509041             1.98337
                  84            0.481754             1.96781
                  85             0.45399             1.95311
                  86            0.425779             1.93929
                  87            0.397148             1.92636
                  88            0.368125             1.91434
                  89            0.338738             1.90323
                  90            0.309017             1.89306
                  91            0.278991             1.88382
                  92             0.24869             1.87553
                  93            0.218143              1.8682
                  94            0.187381             1.86183
                  95            0.156434             1.85642
                  96            0.125333               1.852
                  97           0.0941083             1.84855
                  98           0.0627905             1.84609
                  99                   0             1.84411
