            Interval              Radial            Vertical
                   0                   0             3.40991
                   0                   0             3.40991
                   1           0.0314108             3.40942
                   2           0.0627905             3.40794
                   3           0.0941083             3.40547
                   4            0.125333             3.40202
                   5            0.156434              3.3976
                   6            0.187381              3.3922
                   7            0.218143             3.38583
                   8             0.24869             3.37849
                   9            0.278991              3.3702
                  10            0.309017             3.36097
                  11            0.338738             3.35079
                  12            0.368125             3.33969
                  13            0.397148             3.32766
                  14            0.425779             3.31474
                  15             0.45399             3.30092
                  16            0.481754             3.28622
                  17            0.509041             3.27065
                  18            0.535827             3.25424
                  19            0.562083             3.23699
                  20            0.587785             3.21893
                  21            0.612907             3.20006
                  22            0.637424             3.18042
                  23            0.661312             3.16002
                  24            0.684547             3.13888
                  25            0.707107             3.11702
                  26            0.728969             3.09446
                  27            0.750111             3.07122
                  28            0.770513             3.04733
                  29            0.790155             3.02282
                  30            0.809017             2.99769
                  31            0.827081             2.97199
                  32            0.844328             2.94574
                  33            0.860742             2.91895
                  34            0.876307             2.89166
                  35            0.891007              2.8639
                  36            0.904827             2.83569
                  37            0.917755             2.80706
                  38            0.929776             2.77803
                  39            0.940881             2.74865
                  40            0.951057             2.71893
                  41            0.960294              2.6889
                  42            0.968583              2.6586
                  43            0.975917             2.62805
                  44            0.982287             2.59729
                  45            0.987688             2.56634
                  46            0.992115             2.53524
                  47            0.995562             2.50402
                  48            0.998027              2.4727
                  49            0.999507             2.44132
                  50                   1             2.40991
                  51            0.999507              2.3785
                  52            0.998027             2.34712
                  53            0.995562              2.3158
                  54            0.992115             2.28458
                  55            0.987688             2.25348
                  56            0.982287             2.22253
                  57            0.975917             2.19177
                  58            0.968583             2.16122
                  59            0.960294             2.13092
                  60            0.951057             2.10089
                  61            0.940881             2.07117
                  62            0.929776             2.04179
                  63            0.917755             2.01276
                  64            0.904827             1.98413
                  65            0.891007             1.95592
                  66            0.876307             1.92816
                  67            0.860742             1.90087
                  68            0.844328             1.87408
                  69            0.827081             1.84783
                  70            0.809017             1.82212
                  71            0.790155               1.797
                  72            0.770513             1.77249
                  73            0.750111              1.7486
                  74            0.728969             1.72536
                  75            0.707107              1.7028
                  76            0.684547             1.68094
                  77            0.661312              1.6598
                  78            0.637424              1.6394
                  79            0.612907             1.61975
                  80            0.587785             1.60089
                  81            0.562083             1.58283
                  82            0.535827             1.56558
                  83            0.509041             1.54917
                  84            0.481754              1.5336
                  85             0.45399              1.5189
                  86            0.425779             1.50508
                  87            0.397148             1.49215
                  88            0.368125             1.48013
                  89            0.338738             1.46903
                  90            0.309017             1.45885
                  91            0.278991             1.44962
                  92             0.24869             1.44133
                  93            0.218143             1.43399
                  94            0.187381             1.42762
                  95            0.156434             1.42222
                  96            0.125333             1.41779
                  97           0.0941083             1.41435
                  98           0.0627905             1.41188
                  99                   0             1.40991
