            Interval              Radial            Vertical
                   0                   0           -0.977783
                   0                   0           -0.977783
                   1           0.0314108           -0.978276
                   2           0.0627905           -0.979756
                   3           0.0941083           -0.982221
                   4            0.125333           -0.985668
                   5            0.156434           -0.990094
                   6            0.187381           -0.995495
                   7            0.218143            -1.00187
                   8             0.24869             -1.0092
                   9            0.278991            -1.01749
                  10            0.309017            -1.02673
                  11            0.338738             -1.0369
                  12            0.368125            -1.04801
                  13            0.397148            -1.06003
                  14            0.425779            -1.07296
                  15             0.45399            -1.08678
                  16            0.481754            -1.10148
                  17            0.509041            -1.11704
                  18            0.535827            -1.13345
                  19            0.562083             -1.1507
                  20            0.587785            -1.16877
                  21            0.612907            -1.18763
                  22            0.637424            -1.20727
                  23            0.661312            -1.22767
                  24            0.684547            -1.24881
                  25            0.707107            -1.27068
                  26            0.728969            -1.29324
                  27            0.750111            -1.31647
                  28            0.770513            -1.34036
                  29            0.790155            -1.36488
                  30            0.809017               -1.39
                  31            0.827081             -1.4157
                  32            0.844328            -1.44196
                  33            0.860742            -1.46874
                  34            0.876307            -1.49603
                  35            0.891007            -1.52379
                  36            0.904827              -1.552
                  37            0.917755            -1.58063
                  38            0.929776            -1.60966
                  39            0.940881            -1.63904
                  40            0.951057            -1.66877
                  41            0.960294            -1.69879
                  42            0.968583            -1.72909
                  43            0.975917            -1.75964
                  44            0.982287             -1.7904
                  45            0.987688            -1.82135
                  46            0.992115            -1.85245
                  47            0.995562            -1.88367
                  48            0.998027            -1.91499
                  49            0.999507            -1.94637
                  50                   1            -1.97778
                  51            0.999507            -2.00919
                  52            0.998027            -2.04057
                  53            0.995562            -2.07189
                  54            0.992115            -2.10312
                  55            0.987688            -2.13422
                  56            0.982287            -2.16516
                  57            0.975917            -2.19593
                  58            0.968583            -2.22647
                  59            0.960294            -2.25677
                  60            0.951057             -2.2868
                  61            0.940881            -2.31652
                  62            0.929776            -2.34591
                  63            0.917755            -2.37493
                  64            0.904827            -2.40356
                  65            0.891007            -2.43177
                  66            0.876307            -2.45954
                  67            0.860742            -2.48682
                  68            0.844328            -2.51361
                  69            0.827081            -2.53987
                  70            0.809017            -2.56557
                  71            0.790155            -2.59069
                  72            0.770513            -2.61521
                  73            0.750111            -2.63909
                  74            0.728969            -2.66233
                  75            0.707107            -2.68489
                  76            0.684547            -2.70675
                  77            0.661312            -2.72789
                  78            0.637424             -2.7483
                  79            0.612907            -2.76794
                  80            0.587785             -2.7868
                  81            0.562083            -2.80486
                  82            0.535827            -2.82211
                  83            0.509041            -2.83852
                  84            0.481754            -2.85409
                  85             0.45399            -2.86879
                  86            0.425779            -2.88261
                  87            0.397148            -2.89554
                  88            0.368125            -2.90756
                  89            0.338738            -2.91866
                  90            0.309017            -2.92884
                  91            0.278991            -2.93808
                  92             0.24869            -2.94637
                  93            0.218143             -2.9537
                  94            0.187381            -2.96007
                  95            0.156434            -2.96547
                  96            0.125333             -2.9699
                  97           0.0941083            -2.97334
                  98           0.0627905            -2.97581
                  99                   0            -2.97778
