            Interval              Radial            Vertical
                   0                   0             1.06087
                   0                   0             1.06087
                   1           0.0314108             1.06038
                   2           0.0627905              1.0589
                   3           0.0941083             1.05643
                   4            0.125333             1.05298
                   5            0.156434             1.04856
                   6            0.187381             1.04316
                   7            0.218143             1.03679
                   8             0.24869             1.02945
                   9            0.278991             1.02116
                  10            0.309017             1.01193
                  11            0.338738             1.00175
                  12            0.368125            0.990646
                  13            0.397148            0.978624
                  14            0.425779            0.965697
                  15             0.45399            0.951876
                  16            0.481754            0.937176
                  17            0.509041            0.921612
                  18            0.535827            0.905197
                  19            0.562083             0.88795
                  20            0.587785            0.869886
                  21            0.612907            0.851025
                  22            0.637424            0.831383
                  23            0.661312            0.810981
                  24            0.684547            0.789838
                  25            0.707107            0.767976
                  26            0.728969            0.745417
                  27            0.750111            0.722181
                  28            0.770513            0.698293
                  29            0.790155            0.673777
                  30            0.809017            0.648655
                  31            0.827081            0.622953
                  32            0.844328            0.596696
                  33            0.860742            0.569911
                  34            0.876307            0.542623
                  35            0.891007             0.51486
                  36            0.904827            0.486649
                  37            0.917755            0.458017
                  38            0.929776            0.428994
                  39            0.940881            0.399607
                  40            0.951057            0.369886
                  41            0.960294            0.339861
                  42            0.968583            0.309559
                  43            0.975917            0.279013
                  44            0.982287            0.248251
                  45            0.987688            0.217304
                  46            0.992115            0.186203
                  47            0.995562            0.154978
                  48            0.998027             0.12366
                  49            0.999507           0.0922802
                  50                   1           0.0608695
                  51            0.999507           0.0294587
                  52            0.998027         -0.00192103
                  53            0.995562          -0.0332388
                  54            0.992115          -0.0644637
                  55            0.987688           -0.095565
                  56            0.982287           -0.126512
                  57            0.975917           -0.157274
                  58            0.968583            -0.18782
                  59            0.960294           -0.218122
                  60            0.951057           -0.248148
                  61            0.940881           -0.277868
                  62            0.929776           -0.307255
                  63            0.917755           -0.336278
                  64            0.904827            -0.36491
                  65            0.891007           -0.393121
                  66            0.876307           -0.420884
                  67            0.860742           -0.448172
                  68            0.844328           -0.474957
                  69            0.827081           -0.501214
                  70            0.809017           -0.526916
                  71            0.790155           -0.552038
                  72            0.770513           -0.576555
                  73            0.750111           -0.600442
                  74            0.728969           -0.623678
                  75            0.707107           -0.646237
                  76            0.684547           -0.668099
                  77            0.661312           -0.689242
                  78            0.637424           -0.709644
                  79            0.612907           -0.729286
                  80            0.587785           -0.748148
                  81            0.562083           -0.766211
                  82            0.535827           -0.783458
                  83            0.509041           -0.799873
                  84            0.481754           -0.815437
                  85             0.45399           -0.830137
                  86            0.425779           -0.843958
                  87            0.397148           -0.856885
                  88            0.368125           -0.868907
                  89            0.338738           -0.880011
                  90            0.309017           -0.890187
                  91            0.278991           -0.899424
                  92             0.24869           -0.907714
                  93            0.218143           -0.915047
                  94            0.187381           -0.921418
                  95            0.156434           -0.926819
                  96            0.125333           -0.931245
                  97           0.0941083           -0.934692
                  98           0.0627905           -0.937157
                  99                   0           -0.939131
