            Interval              Radial            Vertical
                   0                   0             2.85179
                   0                   0             2.85179
                   1           0.0314108              2.8513
                   2           0.0627905             2.84982
                   3           0.0941083             2.84735
                   4            0.125333             2.84391
                   5            0.156434             2.83948
                   6            0.187381             2.83408
                   7            0.218143             2.82771
                   8             0.24869             2.82038
                   9            0.278991             2.81209
                  10            0.309017             2.80285
                  11            0.338738             2.79267
                  12            0.368125             2.78157
                  13            0.397148             2.76955
                  14            0.425779             2.75662
                  15             0.45399              2.7428
                  16            0.481754              2.7281
                  17            0.509041             2.71253
                  18            0.535827             2.69612
                  19            0.562083             2.67887
                  20            0.587785             2.66081
                  21            0.612907             2.64195
                  22            0.637424             2.62231
                  23            0.661312              2.6019
                  24            0.684547             2.58076
                  25            0.707107              2.5589
                  26            0.728969             2.53634
                  27            0.750111              2.5131
                  28            0.770513             2.48922
                  29            0.790155              2.4647
                  30            0.809017             2.43958
                  31            0.827081             2.41388
                  32            0.844328             2.38762
                  33            0.860742             2.36083
                  34            0.876307             2.33355
                  35            0.891007             2.30578
                  36            0.904827             2.27757
                  37            0.917755             2.24894
                  38            0.929776             2.21992
                  39            0.940881             2.19053
                  40            0.951057             2.16081
                  41            0.960294             2.13078
                  42            0.968583             2.10048
                  43            0.975917             2.06994
                  44            0.982287             2.03917
                  45            0.987688             2.00823
                  46            0.992115             1.97713
                  47            0.995562              1.9459
                  48            0.998027             1.91458
                  49            0.999507              1.8832
                  50                   1             1.85179
                  51            0.999507             1.82038
                  52            0.998027               1.789
                  53            0.995562             1.75768
                  54            0.992115             1.72646
                  55            0.987688             1.69536
                  56            0.982287             1.66441
                  57            0.975917             1.63365
                  58            0.968583              1.6031
                  59            0.960294              1.5728
                  60            0.951057             1.54278
                  61            0.940881             1.51305
                  62            0.929776             1.48367
                  63            0.917755             1.45464
                  64            0.904827             1.42601
                  65            0.891007              1.3978
                  66            0.876307             1.37004
                  67            0.860742             1.34275
                  68            0.844328             1.31597
                  69            0.827081             1.28971
                  70            0.809017             1.26401
                  71            0.790155             1.23889
                  72            0.770513             1.21437
                  73            0.750111             1.19048
                  74            0.728969             1.16725
                  75            0.707107             1.14469
                  76            0.684547             1.12282
                  77            0.661312             1.10168
                  78            0.637424             1.08128
                  79            0.612907             1.06164
                  80            0.587785             1.04278
                  81            0.562083             1.02471
                  82            0.535827             1.00746
                  83            0.509041            0.991051
                  84            0.481754            0.975486
                  85             0.45399            0.960786
                  86            0.425779            0.946966
                  87            0.397148            0.934038
                  88            0.368125            0.922016
                  89            0.338738            0.910912
                  90            0.309017            0.900736
                  91            0.278991            0.891499
                  92             0.24869             0.88321
                  93            0.218143            0.875876
                  94            0.187381            0.869506
                  95            0.156434            0.864104
                  96            0.125333            0.859678
                  97           0.0941083            0.856231
                  98           0.0627905            0.853766
                  99                   0            0.851793
