           iteration                time              height            velocity
                 161              0.0966             2.89197           -0.964545
                 162              0.0972             2.89139           -0.963294
                 163              0.0978             2.89081           -0.962051
                 164              0.0984             2.89024           -0.960816
                 165               0.099             2.88966           -0.959588
                 166              0.0996             2.88908           -0.958368
                 167              0.1002             2.88851           -0.957156
                 168              0.1008             2.88794           -0.955951
                 169              0.1014             2.88736           -0.954754
                 170               0.102             2.88679           -0.953564
                 171              0.1026             2.88622           -0.952381
                 172              0.1032             2.88565           -0.951206
                 173              0.1038             2.88507           -0.950038
                 174              0.1044              2.8845           -0.948877
                 175               0.105             2.88394           -0.947723
                 176              0.1056             2.88337           -0.946576
                 177              0.1062              2.8828           -0.945437
                 178              0.1068             2.88223           -0.944304
                 179              0.1074             2.88166           -0.943178
                 180               0.108              2.8811           -0.942059
                 181              0.1086             2.88053           -0.940947
                 182              0.1092             2.87997           -0.939841
                 183              0.1098             2.87941           -0.938743
                 184              0.1104             2.87884           -0.937651
                 185               0.111             2.87828           -0.936565
                 186              0.1116             2.87772           -0.935486
                 187              0.1122             2.87716           -0.934413
                 188              0.1128              2.8766           -0.933347
                 189              0.1134             2.87604           -0.932287
                 190               0.114             2.87548           -0.931234
                 191              0.1146             2.87492           -0.930187
                 192              0.1152             2.87436           -0.929146
                 193              0.1158              2.8738           -0.928111
                 194              0.1164             2.87324           -0.927083
                 195               0.117             2.87269            -0.92606
                 196              0.1176             2.87213           -0.925044
                 197              0.1182             2.87158           -0.924033
                 198              0.1188             2.87102           -0.923029
                 199              0.1194             2.87047            -0.92203
                 200                0.12             2.86992           -0.921038
                 201              0.1206             2.86936           -0.920051
                 202              0.1212             2.86881            -0.91907
                 203              0.1218             2.86826           -0.918094
                 204              0.1224             2.86771           -0.917125
                 205               0.123             2.86716            -0.91616
                 206              0.1236             2.86661           -0.915202
                 207              0.1242             2.86606           -0.914249
                 208              0.1248             2.86551           -0.913302
                 209              0.1254             2.86496            -0.91236
                 210               0.126             2.86442           -0.911424
                 211              0.1266             2.86387           -0.910492
                 212              0.1272             2.86332           -0.909567
                 213              0.1278             2.86278           -0.908647
                 214              0.1284             2.86223           -0.907731
                 215               0.129             2.86169           -0.906822
                 216              0.1296             2.86114           -0.905917
                 217              0.1302              2.8606           -0.905018
                 218              0.1308             2.86006           -0.904123
                 219              0.1314             2.85951           -0.903234
                 220               0.132             2.85897            -0.90235
                 221              0.1326             2.85843           -0.901471
                 222              0.1332             2.85789           -0.900597
                 223              0.1338             2.85735           -0.899727
                 224              0.1344             2.85681           -0.898863
                 225               0.135             2.85627           -0.898004
                 226              0.1356             2.85573           -0.897149
                 227              0.1362             2.85519           -0.896299
                 228              0.1368             2.85466           -0.895454
                 229              0.1374             2.85412           -0.894614
                 230               0.138             2.85358           -0.893778
                 231              0.1386             2.85305           -0.892947
                 232              0.1392             2.85251           -0.892121
                 233              0.1398             2.85197           -0.891299
                 234              0.1404             2.85144           -0.890482
                 235               0.141             2.85091            -0.88967
                 236              0.1416             2.85037           -0.888862
                 237              0.1422             2.84984           -0.888058
                 238              0.1428             2.84931           -0.887259
                 239              0.1434             2.84877           -0.886464
                 240               0.144             2.84824           -0.885674
                 241              0.1446             2.84771           -0.884888
