            Interval              Radial            Vertical
                   0                   0              3.4192
                   0                   0              3.4192
                   1           0.0314108              3.4187
                   2           0.0627905             3.41722
                   3           0.0941083             3.41476
                   4            0.125333             3.41131
                   5            0.156434             3.40689
                   6            0.187381             3.40149
                   7            0.218143             3.39511
                   8             0.24869             3.38778
                   9            0.278991             3.37949
                  10            0.309017             3.37025
                  11            0.338738             3.36008
                  12            0.368125             3.34897
                  13            0.397148             3.33695
                  14            0.425779             3.32403
                  15             0.45399              3.3102
                  16            0.481754              3.2955
                  17            0.509041             3.27994
                  18            0.535827             3.26353
                  19            0.562083             3.24628
                  20            0.587785             3.22821
                  21            0.612907             3.20935
                  22            0.637424             3.18971
                  23            0.661312             3.16931
                  24            0.684547             3.14817
                  25            0.707107              3.1263
                  26            0.728969             3.10375
                  27            0.750111             3.08051
                  28            0.770513             3.05662
                  29            0.790155             3.03211
                  30            0.809017             3.00698
                  31            0.827081             2.98128
                  32            0.844328             2.95502
                  33            0.860742             2.92824
                  34            0.876307             2.90095
                  35            0.891007             2.87319
                  36            0.904827             2.84498
                  37            0.917755             2.81635
                  38            0.929776             2.78732
                  39            0.940881             2.75794
                  40            0.951057             2.72821
                  41            0.960294             2.69819
                  42            0.968583             2.66789
                  43            0.975917             2.63734
                  44            0.982287             2.60658
                  45            0.987688             2.57563
                  46            0.992115             2.54453
                  47            0.995562             2.51331
                  48            0.998027             2.48199
                  49            0.999507             2.45061
                  50                   1              2.4192
                  51            0.999507             2.38779
                  52            0.998027             2.35641
                  53            0.995562             2.32509
                  54            0.992115             2.29386
                  55            0.987688             2.26276
                  56            0.982287             2.23182
                  57            0.975917             2.20105
                  58            0.968583             2.17051
                  59            0.960294             2.14021
                  60            0.951057             2.11018
                  61            0.940881             2.08046
                  62            0.929776             2.05107
                  63            0.917755             2.02205
                  64            0.904827             1.99342
                  65            0.891007             1.96521
                  66            0.876307             1.93744
                  67            0.860742             1.91016
                  68            0.844328             1.88337
                  69            0.827081             1.85711
                  70            0.809017             1.83141
                  71            0.790155             1.80629
                  72            0.770513             1.78177
                  73            0.750111             1.75789
                  74            0.728969             1.73465
                  75            0.707107             1.71209
                  76            0.684547             1.69023
                  77            0.661312             1.66909
                  78            0.637424             1.64868
                  79            0.612907             1.62904
                  80            0.587785             1.61018
                  81            0.562083             1.59212
                  82            0.535827             1.57487
                  83            0.509041             1.55846
                  84            0.481754             1.54289
                  85             0.45399             1.52819
                  86            0.425779             1.51437
                  87            0.397148             1.50144
                  88            0.368125             1.48942
                  89            0.338738             1.47832
                  90            0.309017             1.46814
                  91            0.278991              1.4589
                  92             0.24869             1.45061
                  93            0.218143             1.44328
                  94            0.187381             1.43691
                  95            0.156434             1.43151
                  96            0.125333             1.42708
                  97           0.0941083             1.42364
                  98           0.0627905             1.42117
                  99                   0              1.4192
