#mdr	 bond	 viscos_rat	 regime
2.000000	 1.000000	 0.001000	 film
2.000000	 1.000000	 0.010000	 film
2.000000	 1.000000	 0.100000	 film
2.000000	 1.000000	 1.000000	 film
2.000000	 10.000000	 0.001000	 trans
2.000000	 10.000000	 0.010000	 trans
2.000000	 10.000000	 0.100000	 trans
2.000000	 10.000000	 1.000000	 trans
2.000000	 100.000000	 0.001000	 trans
2.000000	 100.000000	 0.010000	 trans
2.000000	 100.000000	 0.100000	 trans
2.000000	 100.000000	 1.000000	 trans
2.000000	 1000.000000	 0.001000	 trans
2.000000	 1000.000000	 0.010000	 trans
2.000000	 1000.000000	 0.100000	 trans
2.000000	 1000.000000	 1.000000	 trans
