#mdr	 bond	 viscos_rat	 regime
9.000000	 1.000000	 0.001000	 tail
9.000000	 1.000000	 0.010000	 tail
9.000000	 1.000000	 0.100000	 tail
9.000000	 1.000000	 1.000000	 tail
9.000000	 10.000000	 0.001000	 tail
9.000000	 10.000000	 0.010000	 tail
9.000000	 10.000000	 0.100000	 tail
9.000000	 10.000000	 1.000000	 tail
9.000000	 100.000000	 0.001000	 tail
9.000000	 100.000000	 0.010000	 tail
9.000000	 100.000000	 0.100000	 tail
9.000000	 100.000000	 1.000000	 tail
9.000000	 1000.000000	 0.001000	 tail
9.000000	 1000.000000	 0.010000	 tail
9.000000	 1000.000000	 0.100000	 tail
9.000000	 1000.000000	 1.000000	 tail
