#mdr	bond	viscos_rat	regime
2	1	0.001		film
2	1	0.01		film
2	1	0.1		film
2	1	1		film
2	10	0.001		trans
2	10	0.01		trans
2	10	0.1		trans
2	10	1		trans
2	100	0.001		trans
2	100	0.01		trans
2	100	0.1		trans
2	100	1		trans
2	1000	0.001		trans
2	1000	0.01		trans
2	1000	0.1		trans
2	1000	1		trans
3	1	0.001		film
3	1	0.01		film
3	1	0.1		film
3	1	1		film
3	10	0.001		tail
3	10	0.01		tail
3	10	0.1		tail
3	10	1		tail
3	100	0.001		tail
3	100	0.01		tail
3	100	0.1		tail
3	100	1		tail
3	1000	0.001		tail
3	1000	0.01		tail
3	1000	0.1		tail
3	1000	1		tail
4	1	0.001		trans
4	1	0.01		trans
4	1	0.1		trans
4	1	1		trans
4	10	0.001		tail
4	10	0.01		tail
4	10	0.1		tail
4	10	1		tail
4	100	0.001		tail
4	100	0.01		tail
4	100	0.1		tail
4	100	1		tail
4	1000	0.001		tail
4	1000	0.01		tail
4	1000	0.1		tail
4	1000	1		tail
5	1	0.001		tail
5	1	0.01		tail
5	1	0.1		tail
5	1	1		tail
5	10	0.001		tail
5	10	0.01		tail
5	10	0.1		tail
5	10	1		tail
5	100	0.001		tail
5	100	0.01		tail
5	100	0.1		tail
5	100	1		tail
5	1000	0.001		tail
5	1000	0.01		tail
5	1000	0.1		tail
5	1000	1		tail
6	1	0.001		tail
6	1	0.01		tail
6	1	0.1		tail
6	1	1		tail
6	10	0.001		tail
6	10	0.01		tail
6	10	0.1		tail
6	10	1		tail
6	100	0.001		tail
6	100	0.01		tail
6	100	0.1		tail
6	100	1		tail
6	1000	0.001		tail
6	1000	0.01		tail
6	1000	0.1		tail
6	1000	1		tail
7	1	0.001		tail
7	1	0.01		tail
7	1	0.1		tail
7	1	1		tail
7	10	0.001		tail
7	10	0.01		tail
7	10	0.1		tail
7	10	1		tail
7	100	0.001		tail
7	100	0.01		tail
7	100	0.1		tail
7	100	1		tail
7	1000	0.001		tail
7	1000	0.01		tail
7	1000	0.1		tail
7	1000	1		tail
8	1	0.001		tail
8	1	0.01		tail
8	1	0.1		tail
8	1	1		tail
8	10	0.001		tail
8	10	0.01		tail
8	10	0.1		tail
8	10	1		tail
8	100	0.001		tail
8	100	0.01		tail
8	100	0.1		tail
8	100	1		tail
8	1000	0.001		tail
8	1000	0.01		tail
8	1000	0.1		tail
8	1000	1		tail
9	1	0.001		tail
9	1	0.01		tail
9	1	0.1		tail
9	1	1		tail
9	10	0.001		tail
9	10	0.01		tail
9	10	0.1		tail
9	10	1		tail
9	100	0.001		tail
9	100	0.01		tail
9	100	0.1		tail
9	100	1		tail
9	1000	0.001		tail
9	1000	0.01		tail
9	1000	0.1		tail
9	1000	1		tail
