            Interval              Radial            Vertical
                   0                   0             3.50941
                   0                   0             3.50941
                   1           0.0314108             3.50892
                   2           0.0627905             3.50744
                   3           0.0941083             3.50497
                   4            0.125333             3.50153
                   5            0.156434              3.4971
                   6            0.187381              3.4917
                   7            0.218143             3.48533
                   8             0.24869               3.478
                   9            0.278991             3.46971
                  10            0.309017             3.46047
                  11            0.338738             3.45029
                  12            0.368125             3.43919
                  13            0.397148             3.42717
                  14            0.425779             3.41424
                  15             0.45399             3.40042
                  16            0.481754             3.38572
                  17            0.509041             3.37015
                  18            0.535827             3.35374
                  19            0.562083             3.33649
                  20            0.587785             3.31843
                  21            0.612907             3.29957
                  22            0.637424             3.27993
                  23            0.661312             3.25952
                  24            0.684547             3.23838
                  25            0.707107             3.21652
                  26            0.728969             3.19396
                  27            0.750111             3.17072
                  28            0.770513             3.14684
                  29            0.790155             3.12232
                  30            0.809017              3.0972
                  31            0.827081              3.0715
                  32            0.844328             3.04524
                  33            0.860742             3.01845
                  34            0.876307             2.99117
                  35            0.891007              2.9634
                  36            0.904827             2.93519
                  37            0.917755             2.90656
                  38            0.929776             2.87754
                  39            0.940881             2.84815
                  40            0.951057             2.81843
                  41            0.960294              2.7884
                  42            0.968583              2.7581
                  43            0.975917             2.72756
                  44            0.982287             2.69679
                  45            0.987688             2.66585
                  46            0.992115             2.63475
                  47            0.995562             2.60352
                  48            0.998027              2.5722
                  49            0.999507             2.54082
                  50                   1             2.50941
                  51            0.999507               2.478
                  52            0.998027             2.44662
                  53            0.995562              2.4153
                  54            0.992115             2.38408
                  55            0.987688             2.35298
                  56            0.982287             2.32203
                  57            0.975917             2.29127
                  58            0.968583             2.26072
                  59            0.960294             2.23042
                  60            0.951057              2.2004
                  61            0.940881             2.17068
                  62            0.929776             2.14129
                  63            0.917755             2.11227
                  64            0.904827             2.08363
                  65            0.891007             2.05542
                  66            0.876307             2.02766
                  67            0.860742             2.00037
                  68            0.844328             1.97359
                  69            0.827081             1.94733
                  70            0.809017             1.92163
                  71            0.790155             1.89651
                  72            0.770513             1.87199
                  73            0.750111              1.8481
                  74            0.728969             1.82487
                  75            0.707107             1.80231
                  76            0.684547             1.78044
                  77            0.661312              1.7593
                  78            0.637424              1.7389
                  79            0.612907             1.71926
                  80            0.587785              1.7004
                  81            0.562083             1.68233
                  82            0.535827             1.66509
                  83            0.509041             1.64867
                  84            0.481754             1.63311
                  85             0.45399             1.61841
                  86            0.425779             1.60459
                  87            0.397148             1.59166
                  88            0.368125             1.57964
                  89            0.338738             1.56853
                  90            0.309017             1.55836
                  91            0.278991             1.54912
                  92             0.24869             1.54083
                  93            0.218143              1.5335
                  94            0.187381             1.52713
                  95            0.156434             1.52172
                  96            0.125333              1.5173
                  97           0.0941083             1.51385
                  98           0.0627905             1.51139
                  99                   0             1.50941
