            Interval              Radial            Vertical
                   0                   0             3.00654
                   0                   0             3.00654
                   1           0.0314108             3.00604
                   2           0.0627905             3.00456
                   3           0.0941083              3.0021
                   4            0.125333             2.99865
                   5            0.156434             2.99422
                   6            0.187381             2.98882
                   7            0.218143             2.98245
                   8             0.24869             2.97512
                   9            0.278991             2.96683
                  10            0.309017             2.95759
                  11            0.338738             2.94742
                  12            0.368125             2.93631
                  13            0.397148             2.92429
                  14            0.425779             2.91136
                  15             0.45399             2.89754
                  16            0.481754             2.88284
                  17            0.509041             2.86728
                  18            0.535827             2.85086
                  19            0.562083             2.83362
                  20            0.587785             2.81555
                  21            0.612907             2.79669
                  22            0.637424             2.77705
                  23            0.661312             2.75665
                  24            0.684547              2.7355
                  25            0.707107             2.71364
                  26            0.728969             2.69108
                  27            0.750111             2.66785
                  28            0.770513             2.64396
                  29            0.790155             2.61944
                  30            0.809017             2.59432
                  31            0.827081             2.56862
                  32            0.844328             2.54236
                  33            0.860742             2.51558
                  34            0.876307             2.48829
                  35            0.891007             2.46053
                  36            0.904827             2.43232
                  37            0.917755             2.40368
                  38            0.929776             2.37466
                  39            0.940881             2.34527
                  40            0.951057             2.31555
                  41            0.960294             2.28553
                  42            0.968583             2.25523
                  43            0.975917             2.22468
                  44            0.982287             2.19392
                  45            0.987688             2.16297
                  46            0.992115             2.13187
                  47            0.995562             2.10064
                  48            0.998027             2.06933
                  49            0.999507             2.03795
                  50                   1             2.00654
                  51            0.999507             1.97513
                  52            0.998027             1.94375
                  53            0.995562             1.91243
                  54            0.992115              1.8812
                  55            0.987688              1.8501
                  56            0.982287             1.81915
                  57            0.975917             1.78839
                  58            0.968583             1.75785
                  59            0.960294             1.72754
                  60            0.951057             1.69752
                  61            0.940881              1.6678
                  62            0.929776             1.63841
                  63            0.917755             1.60939
                  64            0.904827             1.58076
                  65            0.891007             1.55255
                  66            0.876307             1.52478
                  67            0.860742             1.49749
                  68            0.844328             1.47071
                  69            0.827081             1.44445
                  70            0.809017             1.41875
                  71            0.790155             1.39363
                  72            0.770513             1.36911
                  73            0.750111             1.34522
                  74            0.728969             1.32199
                  75            0.707107             1.29943
                  76            0.684547             1.27757
                  77            0.661312             1.25642
                  78            0.637424             1.23602
                  79            0.612907             1.21638
                  80            0.587785             1.19752
                  81            0.562083             1.17946
                  82            0.535827             1.16221
                  83            0.509041             1.14579
                  84            0.481754             1.13023
                  85             0.45399             1.11553
                  86            0.425779             1.10171
                  87            0.397148             1.08878
                  88            0.368125             1.07676
                  89            0.338738             1.06566
                  90            0.309017             1.05548
                  91            0.278991             1.04624
                  92             0.24869             1.03795
                  93            0.218143             1.03062
                  94            0.187381             1.02425
                  95            0.156434             1.01885
                  96            0.125333             1.01442
                  97           0.0941083             1.01097
                  98           0.0627905             1.00851
                  99                   0             1.00654
