            Interval              Radial            Vertical
                   0                   0              2.2116
                   0                   0              2.2116
                   1           0.0314108             2.21111
                   2           0.0627905             2.20963
                   3           0.0941083             2.20717
                   4            0.125333             2.20372
                   5            0.156434             2.19929
                   6            0.187381             2.19389
                   7            0.218143             2.18752
                   8             0.24869             2.18019
                   9            0.278991              2.1719
                  10            0.309017             2.16266
                  11            0.338738             2.15248
                  12            0.368125             2.14138
                  13            0.397148             2.12936
                  14            0.425779             2.11643
                  15             0.45399             2.10261
                  16            0.481754             2.08791
                  17            0.509041             2.07235
                  18            0.535827             2.05593
                  19            0.562083             2.03868
                  20            0.587785             2.02062
                  21            0.612907             2.00176
                  22            0.637424             1.98212
                  23            0.661312             1.96171
                  24            0.684547             1.94057
                  25            0.707107             1.91871
                  26            0.728969             1.89615
                  27            0.750111             1.87291
                  28            0.770513             1.84903
                  29            0.790155             1.82451
                  30            0.809017             1.79939
                  31            0.827081             1.77369
                  32            0.844328             1.74743
                  33            0.860742             1.72064
                  34            0.876307             1.69336
                  35            0.891007             1.66559
                  36            0.904827             1.63738
                  37            0.917755             1.60875
                  38            0.929776             1.57973
                  39            0.940881             1.55034
                  40            0.951057             1.52062
                  41            0.960294             1.49059
                  42            0.968583             1.46029
                  43            0.975917             1.42975
                  44            0.982287             1.39898
                  45            0.987688             1.36804
                  46            0.992115             1.33694
                  47            0.995562             1.30571
                  48            0.998027             1.27439
                  49            0.999507             1.24301
                  50                   1              1.2116
                  51            0.999507             1.18019
                  52            0.998027             1.14881
                  53            0.995562             1.11749
                  54            0.992115             1.08627
                  55            0.987688             1.05517
                  56            0.982287             1.02422
                  57            0.975917             0.99346
                  58            0.968583            0.962913
                  59            0.960294            0.932612
                  60            0.951057            0.902586
                  61            0.940881            0.872865
                  62            0.929776            0.843478
                  63            0.917755            0.814455
                  64            0.904827            0.785824
                  65            0.891007            0.757613
                  66            0.876307            0.729849
                  67            0.860742            0.702562
                  68            0.844328            0.675776
                  69            0.827081             0.64952
                  70            0.809017            0.623818
                  71            0.790155            0.598696
                  72            0.770513            0.574179
                  73            0.750111            0.550291
                  74            0.728969            0.527056
                  75            0.707107            0.504496
                  76            0.684547            0.482634
                  77            0.661312            0.461492
                  78            0.637424             0.44109
                  79            0.612907            0.421448
                  80            0.587785            0.402586
                  81            0.562083            0.384522
                  82            0.535827            0.367275
                  83            0.509041            0.350861
                  84            0.481754            0.335296
                  85             0.45399            0.320597
                  86            0.425779            0.306776
                  87            0.397148            0.293848
                  88            0.368125            0.281827
                  89            0.338738            0.270722
                  90            0.309017            0.260547
                  91            0.278991            0.251309
                  92             0.24869             0.24302
                  93            0.218143            0.235686
                  94            0.187381            0.229316
                  95            0.156434            0.223915
                  96            0.125333            0.219488
                  97           0.0941083            0.216041
                  98           0.0627905            0.213576
                  99                   0            0.211603
