            Interval              Radial            Vertical
                   0                   0            -4.85065
                   0                   0            -4.85065
                   1           0.0314108            -4.85114
                   2           0.0627905            -4.85262
                   3           0.0941083            -4.85508
                   4            0.125333            -4.85853
                   5            0.156434            -4.86296
                   6            0.187381            -4.86836
                   7            0.218143            -4.87473
                   8             0.24869            -4.88206
                   9            0.278991            -4.89035
                  10            0.309017            -4.89959
                  11            0.338738            -4.90977
                  12            0.368125            -4.92087
                  13            0.397148            -4.93289
                  14            0.425779            -4.94582
                  15             0.45399            -4.95964
                  16            0.481754            -4.97434
                  17            0.509041             -4.9899
                  18            0.535827            -5.00632
                  19            0.562083            -5.02357
                  20            0.587785            -5.04163
                  21            0.612907            -5.06049
                  22            0.637424            -5.08013
                  23            0.661312            -5.10053
                  24            0.684547            -5.12168
                  25            0.707107            -5.14354
                  26            0.728969             -5.1661
                  27            0.750111            -5.18933
                  28            0.770513            -5.21322
                  29            0.790155            -5.23774
                  30            0.809017            -5.26286
                  31            0.827081            -5.28856
                  32            0.844328            -5.31482
                  33            0.860742             -5.3416
                  34            0.876307            -5.36889
                  35            0.891007            -5.39666
                  36            0.904827            -5.42487
                  37            0.917755             -5.4535
                  38            0.929776            -5.48252
                  39            0.940881            -5.51191
                  40            0.951057            -5.54163
                  41            0.960294            -5.57165
                  42            0.968583            -5.60196
                  43            0.975917             -5.6325
                  44            0.982287            -5.66326
                  45            0.987688            -5.69421
                  46            0.992115            -5.72531
                  47            0.995562            -5.75654
                  48            0.998027            -5.78786
                  49            0.999507            -5.81924
                  50                   1            -5.85065
                  51            0.999507            -5.88206
                  52            0.998027            -5.91344
                  53            0.995562            -5.94475
                  54            0.992115            -5.97598
                  55            0.987688            -6.00708
                  56            0.982287            -6.03803
                  57            0.975917            -6.06879
                  58            0.968583            -6.09934
                  59            0.960294            -6.12964
                  60            0.951057            -6.15966
                  61            0.940881            -6.18938
                  62            0.929776            -6.21877
                  63            0.917755            -6.24779
                  64            0.904827            -6.27643
                  65            0.891007            -6.30464
                  66            0.876307             -6.3324
                  67            0.860742            -6.35969
                  68            0.844328            -6.38647
                  69            0.827081            -6.41273
                  70            0.809017            -6.43843
                  71            0.790155            -6.46355
                  72            0.770513            -6.48807
                  73            0.750111            -6.51196
                  74            0.728969            -6.53519
                  75            0.707107            -6.55775
                  76            0.684547            -6.57961
                  77            0.661312            -6.60076
                  78            0.637424            -6.62116
                  79            0.612907             -6.6408
                  80            0.587785            -6.65966
                  81            0.562083            -6.67773
                  82            0.535827            -6.69497
                  83            0.509041            -6.71139
                  84            0.481754            -6.72695
                  85             0.45399            -6.74165
                  86            0.425779            -6.75547
                  87            0.397148             -6.7684
                  88            0.368125            -6.78042
                  89            0.338738            -6.79153
                  90            0.309017             -6.8017
                  91            0.278991            -6.81094
                  92             0.24869            -6.81923
                  93            0.218143            -6.82656
                  94            0.187381            -6.83293
                  95            0.156434            -6.83833
                  96            0.125333            -6.84276
                  97           0.0941083            -6.84621
                  98           0.0627905            -6.84867
                  99                   0            -6.85065
