            Interval              Radial            Vertical
                   0                   0            -8.20892
                   0                   0            -8.20892
                   1           0.0314108            -8.20942
                   2           0.0627905             -8.2109
                   3           0.0941083            -8.21336
                   4            0.125333            -8.21681
                   5            0.156434            -8.22124
                   6            0.187381            -8.22664
                   7            0.218143            -8.23301
                   8             0.24869            -8.24034
                   9            0.278991            -8.24863
                  10            0.309017            -8.25787
                  11            0.338738            -8.26804
                  12            0.368125            -8.27915
                  13            0.397148            -8.29117
                  14            0.425779             -8.3041
                  15             0.45399            -8.31792
                  16            0.481754            -8.33262
                  17            0.509041            -8.34818
                  18            0.535827             -8.3646
                  19            0.562083            -8.38184
                  20            0.587785            -8.39991
                  21            0.612907            -8.41877
                  22            0.637424            -8.43841
                  23            0.661312            -8.45881
                  24            0.684547            -8.47996
                  25            0.707107            -8.50182
                  26            0.728969            -8.52438
                  27            0.750111            -8.54761
                  28            0.770513             -8.5715
                  29            0.790155            -8.59602
                  30            0.809017            -8.62114
                  31            0.827081            -8.64684
                  32            0.844328             -8.6731
                  33            0.860742            -8.69988
                  34            0.876307            -8.72717
                  35            0.891007            -8.75493
                  36            0.904827            -8.78314
                  37            0.917755            -8.81178
                  38            0.929776             -8.8408
                  39            0.940881            -8.87019
                  40            0.951057            -8.89991
                  41            0.960294            -8.92993
                  42            0.968583            -8.96023
                  43            0.975917            -8.99078
                  44            0.982287            -9.02154
                  45            0.987688            -9.05249
                  46            0.992115            -9.08359
                  47            0.995562            -9.11482
                  48            0.998027            -9.14613
                  49            0.999507            -9.17751
                  50                   1            -9.20892
                  51            0.999507            -9.24033
                  52            0.998027            -9.27171
                  53            0.995562            -9.30303
                  54            0.992115            -9.33426
                  55            0.987688            -9.36536
                  56            0.982287            -9.39631
                  57            0.975917            -9.42707
                  58            0.968583            -9.45761
                  59            0.960294            -9.48791
                  60            0.951057            -9.51794
                  61            0.940881            -9.54766
                  62            0.929776            -9.57705
                  63            0.917755            -9.60607
                  64            0.904827             -9.6347
                  65            0.891007            -9.66291
                  66            0.876307            -9.69068
                  67            0.860742            -9.71797
                  68            0.844328            -9.74475
                  69            0.827081            -9.77101
                  70            0.809017            -9.79671
                  71            0.790155            -9.82183
                  72            0.770513            -9.84635
                  73            0.750111            -9.87024
                  74            0.728969            -9.89347
                  75            0.707107            -9.91603
                  76            0.684547            -9.93789
                  77            0.661312            -9.95903
                  78            0.637424            -9.97944
                  79            0.612907            -9.99908
                  80            0.587785            -10.0179
                  81            0.562083             -10.036
                  82            0.535827            -10.0533
                  83            0.509041            -10.0697
                  84            0.481754            -10.0852
                  85             0.45399            -10.0999
                  86            0.425779            -10.1138
                  87            0.397148            -10.1267
                  88            0.368125            -10.1387
                  89            0.338738            -10.1498
                  90            0.309017              -10.16
                  91            0.278991            -10.1692
                  92             0.24869            -10.1775
                  93            0.218143            -10.1848
                  94            0.187381            -10.1912
                  95            0.156434            -10.1966
                  96            0.125333             -10.201
                  97           0.0941083            -10.2045
                  98           0.0627905             -10.207
                  99                   0            -10.2089
