            Interval              Radial            Vertical
                   0                   0             -0.6835
                   0                   0             -0.6835
                   1           0.0314108           -0.683994
                   2           0.0627905           -0.685473
                   3           0.0941083           -0.687938
                   4            0.125333           -0.691385
                   5            0.156434           -0.695812
                   6            0.187381           -0.701213
                   7            0.218143           -0.707583
                   8             0.24869           -0.714917
                   9            0.278991           -0.723206
                  10            0.309017           -0.732444
                  11            0.338738           -0.742619
                  12            0.368125           -0.753724
                  13            0.397148           -0.765746
                  14            0.425779           -0.778673
                  15             0.45399           -0.792494
                  16            0.481754           -0.807193
                  17            0.509041           -0.822758
                  18            0.535827           -0.839172
                  19            0.562083            -0.85642
                  20            0.587785           -0.874483
                  21            0.612907           -0.893345
                  22            0.637424           -0.912987
                  23            0.661312           -0.933389
                  24            0.684547           -0.954532
                  25            0.707107           -0.976393
                  26            0.728969           -0.998953
                  27            0.750111            -1.02219
                  28            0.770513            -1.04608
                  29            0.790155            -1.07059
                  30            0.809017            -1.09571
                  31            0.827081            -1.12142
                  32            0.844328            -1.14767
                  33            0.860742            -1.17446
                  34            0.876307            -1.20175
                  35            0.891007            -1.22951
                  36            0.904827            -1.25772
                  37            0.917755            -1.28635
                  38            0.929776            -1.31538
                  39            0.940881            -1.34476
                  40            0.951057            -1.37448
                  41            0.960294            -1.40451
                  42            0.968583            -1.43481
                  43            0.975917            -1.46536
                  44            0.982287            -1.49612
                  45            0.987688            -1.52707
                  46            0.992115            -1.55817
                  47            0.995562            -1.58939
                  48            0.998027            -1.62071
                  49            0.999507            -1.65209
                  50                   1             -1.6835
                  51            0.999507            -1.71491
                  52            0.998027            -1.74629
                  53            0.995562            -1.77761
                  54            0.992115            -1.80883
                  55            0.987688            -1.83993
                  56            0.982287            -1.87088
                  57            0.975917            -1.90164
                  58            0.968583            -1.93219
                  59            0.960294            -1.96249
                  60            0.951057            -1.99252
                  61            0.940881            -2.02224
                  62            0.929776            -2.05162
                  63            0.917755            -2.08065
                  64            0.904827            -2.10928
                  65            0.891007            -2.13749
                  66            0.876307            -2.16525
                  67            0.860742            -2.19254
                  68            0.844328            -2.21933
                  69            0.827081            -2.24558
                  70            0.809017            -2.27129
                  71            0.790155            -2.29641
                  72            0.770513            -2.32092
                  73            0.750111            -2.34481
                  74            0.728969            -2.36805
                  75            0.707107            -2.39061
                  76            0.684547            -2.41247
                  77            0.661312            -2.43361
                  78            0.637424            -2.45401
                  79            0.612907            -2.47366
                  80            0.587785            -2.49252
                  81            0.562083            -2.51058
                  82            0.535827            -2.52783
                  83            0.509041            -2.54424
                  84            0.481754            -2.55981
                  85             0.45399            -2.57451
                  86            0.425779            -2.58833
                  87            0.397148            -2.60125
                  88            0.368125            -2.61328
                  89            0.338738            -2.62438
                  90            0.309017            -2.63456
                  91            0.278991            -2.64379
                  92             0.24869            -2.65208
                  93            0.218143            -2.65942
                  94            0.187381            -2.66579
                  95            0.156434            -2.67119
                  96            0.125333            -2.67561
                  97           0.0941083            -2.67906
                  98           0.0627905            -2.68153
                  99                   0             -2.6835
