            Interval              Radial            Vertical
                   0                   0            -3.89419
                   0                   0            -3.89419
                   1           0.0314108            -3.89469
                   2           0.0627905            -3.89617
                   3           0.0941083            -3.89863
                   4            0.125333            -3.90208
                   5            0.156434             -3.9065
                   6            0.187381            -3.91191
                   7            0.218143            -3.91828
                   8             0.24869            -3.92561
                   9            0.278991             -3.9339
                  10            0.309017            -3.94314
                  11            0.338738            -3.95331
                  12            0.368125            -3.96442
                  13            0.397148            -3.97644
                  14            0.425779            -3.98937
                  15             0.45399            -4.00319
                  16            0.481754            -4.01789
                  17            0.509041            -4.03345
                  18            0.535827            -4.04987
                  19            0.562083            -4.06711
                  20            0.587785            -4.08518
                  21            0.612907            -4.10404
                  22            0.637424            -4.12368
                  23            0.661312            -4.14408
                  24            0.684547            -4.16522
                  25            0.707107            -4.18709
                  26            0.728969            -4.20965
                  27            0.750111            -4.23288
                  28            0.770513            -4.25677
                  29            0.790155            -4.28129
                  30            0.809017            -4.30641
                  31            0.827081            -4.33211
                  32            0.844328            -4.35837
                  33            0.860742            -4.38515
                  34            0.876307            -4.41244
                  35            0.891007             -4.4402
                  36            0.904827            -4.46841
                  37            0.917755            -4.49705
                  38            0.929776            -4.52607
                  39            0.940881            -4.55546
                  40            0.951057            -4.58518
                  41            0.960294             -4.6152
                  42            0.968583             -4.6455
                  43            0.975917            -4.67605
                  44            0.982287            -4.70681
                  45            0.987688            -4.73776
                  46            0.992115            -4.76886
                  47            0.995562            -4.80008
                  48            0.998027             -4.8314
                  49            0.999507            -4.86278
                  50                   1            -4.89419
                  51            0.999507             -4.9256
                  52            0.998027            -4.95698
                  53            0.995562             -4.9883
                  54            0.992115            -5.01953
                  55            0.987688            -5.05063
                  56            0.982287            -5.08157
                  57            0.975917            -5.11234
                  58            0.968583            -5.14288
                  59            0.960294            -5.17318
                  60            0.951057            -5.20321
                  61            0.940881            -5.23293
                  62            0.929776            -5.26232
                  63            0.917755            -5.29134
                  64            0.904827            -5.31997
                  65            0.891007            -5.34818
                  66            0.876307            -5.37595
                  67            0.860742            -5.40323
                  68            0.844328            -5.43002
                  69            0.827081            -5.45628
                  70            0.809017            -5.48198
                  71            0.790155             -5.5071
                  72            0.770513            -5.53162
                  73            0.750111             -5.5555
                  74            0.728969            -5.57874
                  75            0.707107             -5.6013
                  76            0.684547            -5.62316
                  77            0.661312             -5.6443
                  78            0.637424            -5.66471
                  79            0.612907            -5.68435
                  80            0.587785            -5.70321
                  81            0.562083            -5.72127
                  82            0.535827            -5.73852
                  83            0.509041            -5.75493
                  84            0.481754             -5.7705
                  85             0.45399             -5.7852
                  86            0.425779            -5.79902
                  87            0.397148            -5.81195
                  88            0.368125            -5.82397
                  89            0.338738            -5.83507
                  90            0.309017            -5.84525
                  91            0.278991            -5.85449
                  92             0.24869            -5.86278
                  93            0.218143            -5.87011
                  94            0.187381            -5.87648
                  95            0.156434            -5.88188
                  96            0.125333            -5.88631
                  97           0.0941083            -5.88975
                  98           0.0627905            -5.89222
                  99                   0            -5.89419
