            Interval              Radial            Vertical
                   0                   0             -6.1307
                   0                   0             -6.1307
                   1           0.0314108            -6.13119
                   2           0.0627905            -6.13267
                   3           0.0941083            -6.13514
                   4            0.125333            -6.13858
                   5            0.156434            -6.14301
                   6            0.187381            -6.14841
                   7            0.218143            -6.15478
                   8             0.24869            -6.16211
                   9            0.278991             -6.1704
                  10            0.309017            -6.17964
                  11            0.338738            -6.18982
                  12            0.368125            -6.20092
                  13            0.397148            -6.21294
                  14            0.425779            -6.22587
                  15             0.45399            -6.23969
                  16            0.481754            -6.25439
                  17            0.509041            -6.26996
                  18            0.535827            -6.28637
                  19            0.562083            -6.30362
                  20            0.587785            -6.32168
                  21            0.612907            -6.34054
                  22            0.637424            -6.36018
                  23            0.661312            -6.38059
                  24            0.684547            -6.40173
                  25            0.707107            -6.42359
                  26            0.728969            -6.44615
                  27            0.750111            -6.46939
                  28            0.770513            -6.49327
                  29            0.790155            -6.51779
                  30            0.809017            -6.54291
                  31            0.827081            -6.56861
                  32            0.844328            -6.59487
                  33            0.860742            -6.62166
                  34            0.876307            -6.64894
                  35            0.891007            -6.67671
                  36            0.904827            -6.70492
                  37            0.917755            -6.73355
                  38            0.929776            -6.76257
                  39            0.940881            -6.79196
                  40            0.951057            -6.82168
                  41            0.960294            -6.85171
                  42            0.968583            -6.88201
                  43            0.975917            -6.91255
                  44            0.982287            -6.94332
                  45            0.987688            -6.97426
                  46            0.992115            -7.00536
                  47            0.995562            -7.03659
                  48            0.998027            -7.06791
                  49            0.999507            -7.09929
                  50                   1             -7.1307
                  51            0.999507            -7.16211
                  52            0.998027            -7.19349
                  53            0.995562            -7.22481
                  54            0.992115            -7.25603
                  55            0.987688            -7.28713
                  56            0.982287            -7.31808
                  57            0.975917            -7.34884
                  58            0.968583            -7.37939
                  59            0.960294            -7.40969
                  60            0.951057            -7.43971
                  61            0.940881            -7.46944
                  62            0.929776            -7.49882
                  63            0.917755            -7.52785
                  64            0.904827            -7.55648
                  65            0.891007            -7.58469
                  66            0.876307            -7.61245
                  67            0.860742            -7.63974
                  68            0.844328            -7.66652
                  69            0.827081            -7.69278
                  70            0.809017            -7.71848
                  71            0.790155            -7.74361
                  72            0.770513            -7.76812
                  73            0.750111            -7.79201
                  74            0.728969            -7.81525
                  75            0.707107             -7.8378
                  76            0.684547            -7.85967
                  77            0.661312            -7.88081
                  78            0.637424            -7.90121
                  79            0.612907            -7.92085
                  80            0.587785            -7.93971
                  81            0.562083            -7.95778
                  82            0.535827            -7.97503
                  83            0.509041            -7.99144
                  84            0.481754              -8.007
                  85             0.45399             -8.0217
                  86            0.425779            -8.03553
                  87            0.397148            -8.04845
                  88            0.368125            -8.06047
                  89            0.338738            -8.07158
                  90            0.309017            -8.08175
                  91            0.278991            -8.09099
                  92             0.24869            -8.09928
                  93            0.218143            -8.10661
                  94            0.187381            -8.11299
                  95            0.156434            -8.11839
                  96            0.125333            -8.12281
                  97           0.0941083            -8.12626
                  98           0.0627905            -8.12872
                  99                   0             -8.1307
