            Interval              Radial            Vertical
                   0                   0             -1.2747
                   0                   0             -1.2747
                   1           0.0314108            -1.27519
                   2           0.0627905            -1.27667
                   3           0.0941083            -1.27914
                   4            0.125333            -1.28258
                   5            0.156434            -1.28701
                   6            0.187381            -1.29241
                   7            0.218143            -1.29878
                   8             0.24869            -1.30611
                   9            0.278991             -1.3144
                  10            0.309017            -1.32364
                  11            0.338738            -1.33382
                  12            0.368125            -1.34492
                  13            0.397148            -1.35694
                  14            0.425779            -1.36987
                  15             0.45399            -1.38369
                  16            0.481754            -1.39839
                  17            0.509041            -1.41396
                  18            0.535827            -1.43037
                  19            0.562083            -1.44762
                  20            0.587785            -1.46568
                  21            0.612907            -1.48454
                  22            0.637424            -1.50418
                  23            0.661312            -1.52459
                  24            0.684547            -1.54573
                  25            0.707107            -1.56759
                  26            0.728969            -1.59015
                  27            0.750111            -1.61339
                  28            0.770513            -1.63727
                  29            0.790155            -1.66179
                  30            0.809017            -1.68691
                  31            0.827081            -1.71261
                  32            0.844328            -1.73887
                  33            0.860742            -1.76566
                  34            0.876307            -1.79294
                  35            0.891007            -1.82071
                  36            0.904827            -1.84892
                  37            0.917755            -1.87755
                  38            0.929776            -1.90657
                  39            0.940881            -1.93596
                  40            0.951057            -1.96568
                  41            0.960294            -1.99571
                  42            0.968583            -2.02601
                  43            0.975917            -2.05655
                  44            0.982287            -2.08732
                  45            0.987688            -2.11826
                  46            0.992115            -2.14936
                  47            0.995562            -2.18059
                  48            0.998027            -2.21191
                  49            0.999507            -2.24329
                  50                   1             -2.2747
                  51            0.999507            -2.30611
                  52            0.998027            -2.33749
                  53            0.995562            -2.36881
                  54            0.992115            -2.40003
                  55            0.987688            -2.43113
                  56            0.982287            -2.46208
                  57            0.975917            -2.49284
                  58            0.968583            -2.52339
                  59            0.960294            -2.55369
                  60            0.951057            -2.58371
                  61            0.940881            -2.61344
                  62            0.929776            -2.64282
                  63            0.917755            -2.67185
                  64            0.904827            -2.70048
                  65            0.891007            -2.72869
                  66            0.876307            -2.75645
                  67            0.860742            -2.78374
                  68            0.844328            -2.81052
                  69            0.827081            -2.83678
                  70            0.809017            -2.86248
                  71            0.790155             -2.8876
                  72            0.770513            -2.91212
                  73            0.750111            -2.93601
                  74            0.728969            -2.95924
                  75            0.707107             -2.9818
                  76            0.684547            -3.00367
                  77            0.661312            -3.02481
                  78            0.637424            -3.04521
                  79            0.612907            -3.06485
                  80            0.587785            -3.08371
                  81            0.562083            -3.10178
                  82            0.535827            -3.11903
                  83            0.509041            -3.13544
                  84            0.481754              -3.151
                  85             0.45399             -3.1657
                  86            0.425779            -3.17952
                  87            0.397148            -3.19245
                  88            0.368125            -3.20447
                  89            0.338738            -3.21558
                  90            0.309017            -3.22575
                  91            0.278991            -3.23499
                  92             0.24869            -3.24328
                  93            0.218143            -3.25061
                  94            0.187381            -3.25698
                  95            0.156434            -3.26239
                  96            0.125333            -3.26681
                  97           0.0941083            -3.27026
                  98           0.0627905            -3.27272
                  99                   0             -3.2747
