            Interval              Radial            Vertical
                   0                   0            -2.60693
                   0                   0            -2.60693
                   1           0.0314108            -2.60743
                   2           0.0627905            -2.60891
                   3           0.0941083            -2.61137
                   4            0.125333            -2.61482
                   5            0.156434            -2.61924
                   6            0.187381            -2.62465
                   7            0.218143            -2.63102
                   8             0.24869            -2.63835
                   9            0.278991            -2.64664
                  10            0.309017            -2.65588
                  11            0.338738            -2.66605
                  12            0.368125            -2.67716
                  13            0.397148            -2.68918
                  14            0.425779            -2.70211
                  15             0.45399            -2.71593
                  16            0.481754            -2.73063
                  17            0.509041            -2.74619
                  18            0.535827            -2.76261
                  19            0.562083            -2.77985
                  20            0.587785            -2.79792
                  21            0.612907            -2.81678
                  22            0.637424            -2.83642
                  23            0.661312            -2.85682
                  24            0.684547            -2.87796
                  25            0.707107            -2.89983
                  26            0.728969            -2.92239
                  27            0.750111            -2.94562
                  28            0.770513            -2.96951
                  29            0.790155            -2.99403
                  30            0.809017            -3.01915
                  31            0.827081            -3.04485
                  32            0.844328            -3.07111
                  33            0.860742            -3.09789
                  34            0.876307            -3.12518
                  35            0.891007            -3.15294
                  36            0.904827            -3.18115
                  37            0.917755            -3.20979
                  38            0.929776            -3.23881
                  39            0.940881             -3.2682
                  40            0.951057            -3.29792
                  41            0.960294            -3.32794
                  42            0.968583            -3.35824
                  43            0.975917            -3.38879
                  44            0.982287            -3.41955
                  45            0.987688             -3.4505
                  46            0.992115             -3.4816
                  47            0.995562            -3.51282
                  48            0.998027            -3.54414
                  49            0.999507            -3.57552
                  50                   1            -3.60693
                  51            0.999507            -3.63834
                  52            0.998027            -3.66972
                  53            0.995562            -3.70104
                  54            0.992115            -3.73227
                  55            0.987688            -3.76337
                  56            0.982287            -3.79431
                  57            0.975917            -3.82508
                  58            0.968583            -3.85562
                  59            0.960294            -3.88592
                  60            0.951057            -3.91595
                  61            0.940881            -3.94567
                  62            0.929776            -3.97506
                  63            0.917755            -4.00408
                  64            0.904827            -4.03271
                  65            0.891007            -4.06092
                  66            0.876307            -4.08869
                  67            0.860742            -4.11597
                  68            0.844328            -4.14276
                  69            0.827081            -4.16902
                  70            0.809017            -4.19472
                  71            0.790155            -4.21984
                  72            0.770513            -4.24436
                  73            0.750111            -4.26824
                  74            0.728969            -4.29148
                  75            0.707107            -4.31404
                  76            0.684547             -4.3359
                  77            0.661312            -4.35704
                  78            0.637424            -4.37745
                  79            0.612907            -4.39709
                  80            0.587785            -4.41595
                  81            0.562083            -4.43401
                  82            0.535827            -4.45126
                  83            0.509041            -4.46768
                  84            0.481754            -4.48324
                  85             0.45399            -4.49794
                  86            0.425779            -4.51176
                  87            0.397148            -4.52469
                  88            0.368125            -4.53671
                  89            0.338738            -4.54781
                  90            0.309017            -4.55799
                  91            0.278991            -4.56723
                  92             0.24869            -4.57552
                  93            0.218143            -4.58285
                  94            0.187381            -4.58922
                  95            0.156434            -4.59462
                  96            0.125333            -4.59905
                  97           0.0941083             -4.6025
                  98           0.0627905            -4.60496
                  99                   0            -4.60693
