            Interval              Radial            Vertical
                   0                   0           -0.779189
                   0                   0           -0.779189
                   1           0.0314108           -0.779682
                   2           0.0627905           -0.781162
                   3           0.0941083           -0.783627
                   4            0.125333           -0.787074
                   5            0.156434           -0.791501
                   6            0.187381           -0.796902
                   7            0.218143           -0.803272
                   8             0.24869           -0.810606
                   9            0.278991           -0.818895
                  10            0.309017           -0.828132
                  11            0.338738           -0.838308
                  12            0.368125           -0.849412
                  13            0.397148           -0.861434
                  14            0.425779           -0.874362
                  15             0.45399           -0.888182
                  16            0.481754           -0.902882
                  17            0.509041           -0.918447
                  18            0.535827           -0.934861
                  19            0.562083           -0.952108
                  20            0.587785           -0.970172
                  21            0.612907           -0.989034
                  22            0.637424            -1.00868
                  23            0.661312            -1.02908
                  24            0.684547            -1.05022
                  25            0.707107            -1.07208
                  26            0.728969            -1.09464
                  27            0.750111            -1.11788
                  28            0.770513            -1.14176
                  29            0.790155            -1.16628
                  30            0.809017             -1.1914
                  31            0.827081            -1.21711
                  32            0.844328            -1.24336
                  33            0.860742            -1.27015
                  34            0.876307            -1.29744
                  35            0.891007             -1.3252
                  36            0.904827            -1.35341
                  37            0.917755            -1.38204
                  38            0.929776            -1.41106
                  39            0.940881            -1.44045
                  40            0.951057            -1.47017
                  41            0.960294             -1.5002
                  42            0.968583             -1.5305
                  43            0.975917            -1.56105
                  44            0.982287            -1.59181
                  45            0.987688            -1.62275
                  46            0.992115            -1.65386
                  47            0.995562            -1.68508
                  48            0.998027             -1.7164
                  49            0.999507            -1.74778
                  50                   1            -1.77919
                  51            0.999507             -1.8106
                  52            0.998027            -1.84198
                  53            0.995562             -1.8733
                  54            0.992115            -1.90452
                  55            0.987688            -1.93562
                  56            0.982287            -1.96657
                  57            0.975917            -1.99733
                  58            0.968583            -2.02788
                  59            0.960294            -2.05818
                  60            0.951057            -2.08821
                  61            0.940881            -2.11793
                  62            0.929776            -2.14731
                  63            0.917755            -2.17634
                  64            0.904827            -2.20497
                  65            0.891007            -2.23318
                  66            0.876307            -2.26094
                  67            0.860742            -2.28823
                  68            0.844328            -2.31502
                  69            0.827081            -2.34127
                  70            0.809017            -2.36697
                  71            0.790155             -2.3921
                  72            0.770513            -2.41661
                  73            0.750111             -2.4405
                  74            0.728969            -2.46374
                  75            0.707107             -2.4863
                  76            0.684547            -2.50816
                  77            0.661312             -2.5293
                  78            0.637424             -2.5497
                  79            0.612907            -2.56934
                  80            0.587785            -2.58821
                  81            0.562083            -2.60627
                  82            0.535827            -2.62352
                  83            0.509041            -2.63993
                  84            0.481754             -2.6555
                  85             0.45399             -2.6702
                  86            0.425779            -2.68402
                  87            0.397148            -2.69694
                  88            0.368125            -2.70897
                  89            0.338738            -2.72007
                  90            0.309017            -2.73025
                  91            0.278991            -2.73948
                  92             0.24869            -2.74777
                  93            0.218143            -2.75511
                  94            0.187381            -2.76148
                  95            0.156434            -2.76688
                  96            0.125333             -2.7713
                  97           0.0941083            -2.77475
                  98           0.0627905            -2.77722
                  99                   0            -2.77919
