           iteration                time              height            velocity
                 167                1.67             1.36779           -0.951893
                 168                1.68             1.35827           -0.951525
                 169                1.69             1.34875           -0.951155
                 170                 1.7             1.33924           -0.950785
                 171                1.71             1.32973           -0.950413
                 172                1.72             1.32023           -0.950041
                 173                1.73             1.31073           -0.949666
                 174                1.74             1.30123           -0.949291
                 175                1.75             1.29174           -0.948915
                 176                1.76             1.28225           -0.948537
                 177                1.77             1.27276           -0.948158
                 178                1.78             1.26328           -0.947778
                 179                1.79              1.2538           -0.947396
                 180                 1.8             1.24433           -0.947014
                 181                1.81             1.23486            -0.94663
                 182                1.82             1.22539           -0.946245
                 183                1.83             1.21593           -0.945859
                 184                1.84             1.20647           -0.945471
                 185                1.85             1.19702           -0.945083
                 186                1.86             1.18757           -0.944693
                 187                1.87             1.17812           -0.944302
                 188                1.88             1.16868           -0.943909
                 189                1.89             1.15924           -0.943516
                 190                 1.9              1.1498           -0.943121
                 191                1.91             1.14037           -0.942725
                 192                1.92             1.13095           -0.942328
                 193                1.93             1.12152           -0.941929
                 194                1.94              1.1121            -0.94153
                 195                1.95             1.10269           -0.941129
                 196                1.96             1.09328           -0.940727
                 197                1.97             1.08387           -0.940324
                 198                1.98             1.07447           -0.939919
                 199                1.99             1.06507           -0.939514
                 200                   2             1.05567           -0.939107
                 201                2.01             1.04628           -0.938699
                 202                2.02             1.03689           -0.938289
                 203                2.03             1.02751           -0.937879
                 204                2.04             1.01813           -0.937467
                 205                2.05             1.00876           -0.937054
                 206                2.06            0.999386            -0.93664
                 207                2.07             0.99002           -0.936225
                 208                2.08            0.980657           -0.935808
                 209                2.09            0.971299           -0.935391
                 210                 2.1            0.961945           -0.934972
                 211                2.11            0.952596           -0.934552
                 212                2.12             0.94325            -0.93413
                 213                2.13            0.933909           -0.933708
                 214                2.14            0.924572           -0.933284
                 215                2.15            0.915239            -0.93286
                 216                2.16             0.90591           -0.932434
                 217                2.17            0.896586           -0.932006
                 218                2.18            0.887266           -0.931578
                 219                2.19             0.87795           -0.931148
                 220                 2.2            0.868639           -0.930718
                 221                2.21            0.859332           -0.930286
                 222                2.22            0.850029           -0.929853
                 223                2.23             0.84073           -0.929418
                 224                2.24            0.831436           -0.928983
                 225                2.25            0.822146           -0.928547
                 226                2.26            0.812861           -0.928109
                 227                2.27             0.80358            -0.92767
                 228                2.28            0.794303            -0.92723
                 229                2.29            0.785031           -0.926789
                 230                 2.3            0.775763           -0.926346
                 231                2.31            0.766499           -0.925903
                 232                2.32             0.75724           -0.925458
                 233                2.33            0.747986           -0.925012
                 234                2.34            0.738736           -0.924565
                 235                2.35             0.72949           -0.924117
                 236                2.36            0.720249           -0.923668
                 237                2.37            0.711012           -0.923218
                 238                2.38             0.70178           -0.922766
                 239                2.39            0.692552           -0.922314
                 240                 2.4            0.683329            -0.92186
                 241                2.41             0.67411           -0.921405
                 242                2.42            0.664896           -0.920949
                 243                2.43            0.655687           -0.920492
                 244                2.44            0.646482           -0.920034
                 245                2.45            0.637282           -0.919575
                 246                2.46            0.628086           -0.919115
                 247                2.47            0.618895           -0.918653
                 248                2.48            0.609708           -0.918191
                 249                2.49            0.600526           -0.917727
                 250                 2.5            0.591349           -0.917262
                 251                2.51            0.582176           -0.916797
                 252                2.52            0.573008            -0.91633
                 253                2.53            0.563845           -0.915862
                 254                2.54            0.554687           -0.915393
                 255                2.55            0.545533           -0.914923
                 256                2.56            0.536383           -0.914452
                 257                2.57            0.527239            -0.91398
                 258                2.58            0.518099           -0.913506
                 259                2.59            0.508964           -0.913032
                 260                 2.6            0.499834           -0.912557
                 261                2.61            0.490708           -0.912081
                 262                2.62            0.481587           -0.911603
                 263                2.63            0.472471           -0.911125
                 264                2.64             0.46336           -0.910645
                 265                2.65            0.454254           -0.910165
                 266                2.66            0.445152           -0.909684
                 267                2.67            0.436055           -0.909201
                 268                2.68            0.426963           -0.908718
                 269                2.69            0.417876           -0.908233
                 270                 2.7            0.408794           -0.907748
                 271                2.71            0.399716           -0.907262
                 272                2.72            0.390643           -0.906774
                 273                2.73            0.381576           -0.906286
                 274                2.74            0.372513           -0.905797
                 275                2.75            0.363455           -0.905306
                 276                2.76            0.354402           -0.904815
                 277                2.77            0.345354           -0.904323
                 278                2.78             0.33631            -0.90383
                 279                2.79            0.327272           -0.903336
                 280                 2.8            0.318239           -0.902841
                 281                2.81             0.30921           -0.902345
