            Interval              Radial            Vertical
                   0                   0            -3.42554
                   0                   0            -3.42554
                   1           0.0314108            -3.42603
                   2           0.0627905            -3.42751
                   3           0.0941083            -3.42998
                   4            0.125333            -3.43343
                   5            0.156434            -3.43785
                   6            0.187381            -3.44325
                   7            0.218143            -3.44962
                   8             0.24869            -3.45696
                   9            0.278991            -3.46525
                  10            0.309017            -3.47448
                  11            0.338738            -3.48466
                  12            0.368125            -3.49576
                  13            0.397148            -3.50779
                  14            0.425779            -3.52071
                  15             0.45399            -3.53453
                  16            0.481754            -3.54923
                  17            0.509041             -3.5648
                  18            0.535827            -3.58121
                  19            0.562083            -3.59846
                  20            0.587785            -3.61652
                  21            0.612907            -3.63538
                  22            0.637424            -3.65503
                  23            0.661312            -3.67543
                  24            0.684547            -3.69657
                  25            0.707107            -3.71843
                  26            0.728969            -3.74099
                  27            0.750111            -3.76423
                  28            0.770513            -3.78812
                  29            0.790155            -3.81263
                  30            0.809017            -3.83775
                  31            0.827081            -3.86346
                  32            0.844328            -3.88971
                  33            0.860742             -3.9165
                  34            0.876307            -3.94379
                  35            0.891007            -3.97155
                  36            0.904827            -3.99976
                  37            0.917755            -4.02839
                  38            0.929776            -4.05742
                  39            0.940881             -4.0868
                  40            0.951057            -4.11652
                  41            0.960294            -4.14655
                  42            0.968583            -4.17685
                  43            0.975917             -4.2074
                  44            0.982287            -4.23816
                  45            0.987688            -4.26911
                  46            0.992115            -4.30021
                  47            0.995562            -4.33143
                  48            0.998027            -4.36275
                  49            0.999507            -4.39413
                  50                   1            -4.42554
                  51            0.999507            -4.45695
                  52            0.998027            -4.48833
                  53            0.995562            -4.51965
                  54            0.992115            -4.55087
                  55            0.987688            -4.58197
                  56            0.982287            -4.61292
                  57            0.975917            -4.64368
                  58            0.968583            -4.67423
                  59            0.960294            -4.70453
                  60            0.951057            -4.73456
                  61            0.940881            -4.76428
                  62            0.929776            -4.79366
                  63            0.917755            -4.82269
                  64            0.904827            -4.85132
                  65            0.891007            -4.87953
                  66            0.876307            -4.90729
                  67            0.860742            -4.93458
                  68            0.844328            -4.96137
                  69            0.827081            -4.98762
                  70            0.809017            -5.01332
                  71            0.790155            -5.03845
                  72            0.770513            -5.06296
                  73            0.750111            -5.08685
                  74            0.728969            -5.11009
                  75            0.707107            -5.13265
                  76            0.684547            -5.15451
                  77            0.661312            -5.17565
                  78            0.637424            -5.19605
                  79            0.612907            -5.21569
                  80            0.587785            -5.23456
                  81            0.562083            -5.25262
                  82            0.535827            -5.26987
                  83            0.509041            -5.28628
                  84            0.481754            -5.30185
                  85             0.45399            -5.31655
                  86            0.425779            -5.33037
                  87            0.397148            -5.34329
                  88            0.368125            -5.35532
                  89            0.338738            -5.36642
                  90            0.309017             -5.3766
                  91            0.278991            -5.38583
                  92             0.24869            -5.39412
                  93            0.218143            -5.40146
                  94            0.187381            -5.40783
                  95            0.156434            -5.41323
                  96            0.125333            -5.41765
                  97           0.0941083             -5.4211
                  98           0.0627905            -5.42357
                  99                   0            -5.42554
