            Interval              Radial            Vertical
                   0                   0            -21.0252
                   0                   0            -21.0252
                   1           0.0314108            -21.0257
                   2           0.0627905            -21.0272
                   3           0.0941083            -21.0296
                   4            0.125333            -21.0331
                   5            0.156434            -21.0375
                   6            0.187381            -21.0429
                   7            0.218143            -21.0493
                   8             0.24869            -21.0566
                   9            0.278991            -21.0649
                  10            0.309017            -21.0742
                  11            0.338738            -21.0843
                  12            0.368125            -21.0954
                  13            0.397148            -21.1075
                  14            0.425779            -21.1204
                  15             0.45399            -21.1342
                  16            0.481754            -21.1489
                  17            0.509041            -21.1645
                  18            0.535827            -21.1809
                  19            0.562083            -21.1981
                  20            0.587785            -21.2162
                  21            0.612907            -21.2351
                  22            0.637424            -21.2547
                  23            0.661312            -21.2751
                  24            0.684547            -21.2962
                  25            0.707107            -21.3181
                  26            0.728969            -21.3407
                  27            0.750111            -21.3639
                  28            0.770513            -21.3878
                  29            0.790155            -21.4123
                  30            0.809017            -21.4374
                  31            0.827081            -21.4631
                  32            0.844328            -21.4894
                  33            0.860742            -21.5162
                  34            0.876307            -21.5435
                  35            0.891007            -21.5712
                  36            0.904827            -21.5994
                  37            0.917755            -21.6281
                  38            0.929776            -21.6571
                  39            0.940881            -21.6865
                  40            0.951057            -21.7162
                  41            0.960294            -21.7462
                  42            0.968583            -21.7765
                  43            0.975917            -21.8071
                  44            0.982287            -21.8378
                  45            0.987688            -21.8688
                  46            0.992115            -21.8999
                  47            0.995562            -21.9311
                  48            0.998027            -21.9624
                  49            0.999507            -21.9938
                  50                   1            -22.0252
                  51            0.999507            -22.0566
                  52            0.998027             -22.088
                  53            0.995562            -22.1193
                  54            0.992115            -22.1505
                  55            0.987688            -22.1816
                  56            0.982287            -22.2126
                  57            0.975917            -22.2434
                  58            0.968583            -22.2739
                  59            0.960294            -22.3042
                  60            0.951057            -22.3342
                  61            0.940881            -22.3639
                  62            0.929776            -22.3933
                  63            0.917755            -22.4224
                  64            0.904827             -22.451
                  65            0.891007            -22.4792
                  66            0.876307             -22.507
                  67            0.860742            -22.5343
                  68            0.844328             -22.561
                  69            0.827081            -22.5873
                  70            0.809017             -22.613
                  71            0.790155            -22.6381
                  72            0.770513            -22.6626
                  73            0.750111            -22.6865
                  74            0.728969            -22.7098
                  75            0.707107            -22.7323
                  76            0.684547            -22.7542
                  77            0.661312            -22.7753
                  78            0.637424            -22.7957
                  79            0.612907            -22.8154
                  80            0.587785            -22.8342
                  81            0.562083            -22.8523
                  82            0.535827            -22.8695
                  83            0.509041             -22.886
                  84            0.481754            -22.9015
                  85             0.45399            -22.9162
                  86            0.425779              -22.93
                  87            0.397148             -22.943
                  88            0.368125             -22.955
                  89            0.338738            -22.9661
                  90            0.309017            -22.9763
                  91            0.278991            -22.9855
                  92             0.24869            -22.9938
                  93            0.218143            -23.0011
                  94            0.187381            -23.0075
                  95            0.156434            -23.0129
                  96            0.125333            -23.0173
                  97           0.0941083            -23.0208
                  98           0.0627905            -23.0232
                  99                   0            -23.0252
