           iteration                time              height            velocity
                 167                1.67             1.66444           -0.663376
                 168                1.68             1.65781           -0.662319
                 169                1.69             1.65118           -0.661261
                 170                 1.7             1.64457           -0.660203
                 171                1.71             1.63797           -0.659145
                 172                1.72             1.63138           -0.658086
                 173                1.73              1.6248           -0.657027
                 174                1.74             1.61823           -0.655967
                 175                1.75             1.61167           -0.654907
                 176                1.76             1.60512           -0.653846
                 177                1.77             1.59858           -0.652785
                 178                1.78             1.59205           -0.651723
                 179                1.79             1.58553            -0.65066
                 180                 1.8             1.57903           -0.649597
                 181                1.81             1.57253           -0.648533
                 182                1.82             1.56605           -0.647468
                 183                1.83             1.55957           -0.646402
                 184                1.84             1.55311           -0.645335
                 185                1.85             1.54665           -0.644267
                 186                1.86             1.54021           -0.643198
                 187                1.87             1.53378           -0.642129
                 188                1.88             1.52736           -0.641058
                 189                1.89             1.52095           -0.639986
                 190                 1.9             1.51455           -0.638913
                 191                1.91             1.50816           -0.637839
                 192                1.92             1.50178           -0.636763
                 193                1.93             1.49541           -0.635687
                 194                1.94             1.48906           -0.634609
                 195                1.95             1.48271            -0.63353
                 196                1.96             1.47637            -0.63245
                 197                1.97             1.47005           -0.631368
                 198                1.98             1.46374           -0.630285
                 199                1.99             1.45743           -0.629201
                 200                   2             1.45114           -0.628115
                 201                2.01             1.44486           -0.627028
                 202                2.02             1.43859           -0.625939
                 203                2.03             1.43233           -0.624849
                 204                2.04             1.42608           -0.623758
                 205                2.05             1.41984           -0.622665
                 206                2.06             1.41362            -0.62157
                 207                2.07              1.4074           -0.620474
                 208                2.08              1.4012           -0.619377
                 209                2.09               1.395           -0.618277
                 210                 2.1             1.38882           -0.617176
                 211                2.11             1.38265           -0.616074
                 212                2.12             1.37649            -0.61497
                 213                2.13             1.37034           -0.613864
                 214                2.14              1.3642           -0.612757
                 215                2.15             1.35807           -0.611648
                 216                2.16             1.35196           -0.610537
                 217                2.17             1.34585           -0.609424
                 218                2.18             1.33976            -0.60831
                 219                2.19             1.33367           -0.607194
                 220                 2.2              1.3276           -0.606076
                 221                2.21             1.32154           -0.604957
                 222                2.22             1.31549           -0.603836
                 223                2.23             1.30945           -0.602713
                 224                2.24             1.30343           -0.601588
                 225                2.25             1.29741           -0.600461
                 226                2.26             1.29141           -0.599333
                 227                2.27             1.28541           -0.598203
                 228                2.28             1.27943           -0.597071
                 229                2.29             1.27346           -0.595937
                 230                 2.3              1.2675           -0.594801
                 231                2.31             1.26155           -0.593664
                 232                2.32             1.25562           -0.592524
                 233                2.33             1.24969           -0.591383
                 234                2.34             1.24378            -0.59024
                 235                2.35             1.23787           -0.589095
                 236                2.36             1.23198           -0.587948
                 237                2.37              1.2261             -0.5868
                 238                2.38             1.22024           -0.585649
                 239                2.39             1.21438           -0.584497
                 240                 2.4             1.20853           -0.583343
                 241                2.41              1.2027           -0.582187
                 242                2.42             1.19688           -0.581029
                 243                2.43             1.19107           -0.579869
                 244                2.44             1.18527           -0.578707
                 245                2.45             1.17948           -0.577544
                 246                2.46             1.17371           -0.576378
                 247                2.47             1.16794           -0.575211
                 248                2.48             1.16219           -0.574042
                 249                2.49             1.15645           -0.572871
                 250                 2.5             1.15072           -0.571698
                 251                2.51             1.14501           -0.570523
                 252                2.52              1.1393           -0.569347
                 253                2.53             1.13361           -0.568168
                 254                2.54             1.12792           -0.566988
                 255                2.55             1.12225           -0.565806
                 256                2.56              1.1166           -0.564622
                 257                2.57             1.11095           -0.563437
                 258                2.58             1.10532           -0.562249
                 259                2.59             1.09969            -0.56106
                 260                 2.6             1.09408           -0.559869
                 261                2.61             1.08848           -0.558676
                 262                2.62              1.0829           -0.557482
                 263                2.63             1.07732           -0.556285
                 264                2.64             1.07176           -0.555087
                 265                2.65             1.06621           -0.553887
                 266                2.66             1.06067           -0.552686
                 267                2.67             1.05514           -0.551482
                 268                2.68             1.04963           -0.550277
                 269                2.69             1.04413           -0.549071
                 270                 2.7             1.03864           -0.547862
                 271                2.71             1.03316           -0.546652
                 272                2.72             1.02769           -0.545441
                 273                2.73             1.02224           -0.544227
                 274                2.74             1.01679           -0.543012
                 275                2.75             1.01136           -0.541796
                 276                2.76             1.00595           -0.540577
                 277                2.77             1.00054           -0.539357
                 278                2.78            0.995146           -0.538136
                 279                2.79            0.989764           -0.536913
                 280                 2.8            0.984395           -0.535689
                 281                2.81            0.979038           -0.534463
                 282                2.82            0.973694           -0.533235
                 283                2.83            0.968361           -0.532006
                 284                2.84            0.963041           -0.530776
                 285                2.85            0.957734           -0.529544
                 286                2.86            0.952438            -0.52831
                 287                2.87            0.947155           -0.527076
                 288                2.88            0.941884            -0.52584
                 289                2.89            0.936626           -0.524602
                 290                 2.9             0.93138           -0.523363
                 291                2.91            0.926146           -0.522123
                 292                2.92            0.920925           -0.520881
                 293                2.93            0.915716           -0.519638
                 294                2.94             0.91052           -0.518394
                 295                2.95            0.905336           -0.517149
                 296                2.96            0.900164           -0.515902
                 297                2.97            0.895005           -0.514655
                 298                2.98            0.889859           -0.513406
                 299                2.99            0.884725           -0.512156
                 300                   3            0.879603           -0.510904
                 301                3.01            0.874494           -0.509652
                 302                3.02            0.869398           -0.508398
                 303                3.03            0.864314           -0.507144
                 304                3.04            0.859242           -0.505888
                 305                3.05            0.854183           -0.504632
                 306                3.06            0.849137           -0.503374
                 307                3.07            0.844103           -0.502116
                 308                3.08            0.839082           -0.500856
                 309                3.09            0.834074           -0.499596
                 310                 3.1            0.829078           -0.498335
                 311                3.11            0.824094           -0.497072
                 312                3.12            0.819124            -0.49581
                 313                3.13            0.814165           -0.494546
                 314                3.14             0.80922           -0.493281
                 315                3.15            0.804287           -0.492016
                 316                3.16            0.799367            -0.49075
                 317                3.17            0.794459           -0.489483
                 318                3.18            0.789565           -0.488216
                 319                3.19            0.784682           -0.486948
                 320                 3.2            0.779813           -0.485679
                 321                3.21            0.774956            -0.48441
                 322                3.22            0.770112            -0.48314
                 323                3.23            0.765281            -0.48187
                 324                3.24            0.760462           -0.480599
                 325                3.25            0.755656           -0.479328
                 326                3.26            0.750863           -0.478056
                 327                3.27            0.746082           -0.476784
                 328                3.28            0.741314           -0.475512
