            Interval              Radial            Vertical
                   0                   0             2.56326
                   0                   0             2.56326
                   1           0.0314108             2.56277
                   2           0.0627905             2.56129
                   3           0.0941083             2.55882
                   4            0.125333             2.55537
                   5            0.156434             2.55095
                   6            0.187381             2.54555
                   7            0.218143             2.53918
                   8             0.24869             2.53184
                   9            0.278991             2.52355
                  10            0.309017             2.51432
                  11            0.338738             2.50414
                  12            0.368125             2.49304
                  13            0.397148             2.48101
                  14            0.425779             2.46809
                  15             0.45399             2.45427
                  16            0.481754             2.43957
                  17            0.509041               2.424
                  18            0.535827             2.40759
                  19            0.562083             2.39034
                  20            0.587785             2.37228
                  21            0.612907             2.35341
                  22            0.637424             2.33377
                  23            0.661312             2.31337
                  24            0.684547             2.29223
                  25            0.707107             2.27037
                  26            0.728969             2.24781
                  27            0.750111             2.22457
                  28            0.770513             2.20068
                  29            0.790155             2.17617
                  30            0.809017             2.15104
                  31            0.827081             2.12534
                  32            0.844328             2.09909
                  33            0.860742              2.0723
                  34            0.876307             2.04501
                  35            0.891007             2.01725
                  36            0.904827             1.98904
                  37            0.917755             1.96041
                  38            0.929776             1.93138
                  39            0.940881               1.902
                  40            0.951057             1.87228
                  41            0.960294             1.84225
                  42            0.968583             1.81195
                  43            0.975917              1.7814
                  44            0.982287             1.75064
                  45            0.987688             1.71969
                  46            0.992115             1.68859
                  47            0.995562             1.65737
                  48            0.998027             1.62605
                  49            0.999507             1.59467
                  50                   1             1.56326
                  51            0.999507             1.53185
                  52            0.998027             1.50047
                  53            0.995562             1.46915
                  54            0.992115             1.43793
                  55            0.987688             1.40683
                  56            0.982287             1.37588
                  57            0.975917             1.34512
                  58            0.968583             1.31457
                  59            0.960294             1.28427
                  60            0.951057             1.25424
                  61            0.940881             1.22452
                  62            0.929776             1.19514
                  63            0.917755             1.16611
                  64            0.904827             1.13748
                  65            0.891007             1.10927
                  66            0.876307             1.08151
                  67            0.860742             1.05422
                  68            0.844328             1.02743
                  69            0.827081             1.00118
                  70            0.809017            0.975474
                  71            0.790155            0.950353
                  72            0.770513            0.925836
                  73            0.750111            0.901948
                  74            0.728969            0.878712
                  75            0.707107            0.856153
                  76            0.684547            0.834291
                  77            0.661312            0.813149
                  78            0.637424            0.792746
                  79            0.612907            0.773105
                  80            0.587785            0.754243
                  81            0.562083            0.736179
                  82            0.535827            0.718932
                  83            0.509041            0.702518
                  84            0.481754            0.686953
                  85             0.45399            0.672253
                  86            0.425779            0.658433
                  87            0.397148            0.645505
                  88            0.368125            0.633483
                  89            0.338738            0.622379
                  90            0.309017            0.612203
                  91            0.278991            0.602966
                  92             0.24869            0.594676
                  93            0.218143            0.587343
                  94            0.187381            0.580972
                  95            0.156434            0.575571
                  96            0.125333            0.571145
                  97           0.0941083            0.567698
                  98           0.0627905            0.565233
                  99                   0             0.56326
