            Interval              Radial            Vertical
                   0                   0             3.84732
                   0                   0             3.84732
                   1           0.0314108             3.84682
                   2           0.0627905             3.84534
                   3           0.0941083             3.84288
                   4            0.125333             3.83943
                   5            0.156434               3.835
                   6            0.187381              3.8296
                   7            0.218143             3.82323
                   8             0.24869              3.8159
                   9            0.278991             3.80761
                  10            0.309017             3.79837
                  11            0.338738              3.7882
                  12            0.368125             3.77709
                  13            0.397148             3.76507
                  14            0.425779             3.75214
                  15             0.45399             3.73832
                  16            0.481754             3.72362
                  17            0.509041             3.70806
                  18            0.535827             3.69164
                  19            0.562083              3.6744
                  20            0.587785             3.65633
                  21            0.612907             3.63747
                  22            0.637424             3.61783
                  23            0.661312             3.59743
                  24            0.684547             3.57628
                  25            0.707107             3.55442
                  26            0.728969             3.53186
                  27            0.750111             3.50863
                  28            0.770513             3.48474
                  29            0.790155             3.46022
                  30            0.809017              3.4351
                  31            0.827081              3.4094
                  32            0.844328             3.38314
                  33            0.860742             3.35636
                  34            0.876307             3.32907
                  35            0.891007             3.30131
                  36            0.904827              3.2731
                  37            0.917755             3.24446
                  38            0.929776             3.21544
                  39            0.940881             3.18605
                  40            0.951057             3.15633
                  41            0.960294             3.12631
                  42            0.968583             3.09601
                  43            0.975917             3.06546
                  44            0.982287              3.0347
                  45            0.987688             3.00375
                  46            0.992115             2.97265
                  47            0.995562             2.94142
                  48            0.998027             2.91011
                  49            0.999507             2.87873
                  50                   1             2.84732
                  51            0.999507             2.81591
                  52            0.998027             2.78453
                  53            0.995562             2.75321
                  54            0.992115             2.72198
                  55            0.987688             2.69088
                  56            0.982287             2.65993
                  57            0.975917             2.62917
                  58            0.968583             2.59863
                  59            0.960294             2.56832
                  60            0.951057              2.5383
                  61            0.940881             2.50858
                  62            0.929776             2.47919
                  63            0.917755             2.45017
                  64            0.904827             2.42154
                  65            0.891007             2.39333
                  66            0.876307             2.36556
                  67            0.860742             2.33827
                  68            0.844328             2.31149
                  69            0.827081             2.28523
                  70            0.809017             2.25953
                  71            0.790155             2.23441
                  72            0.770513             2.20989
                  73            0.750111               2.186
                  74            0.728969             2.16277
                  75            0.707107             2.14021
                  76            0.684547             2.11835
                  77            0.661312              2.0972
                  78            0.637424              2.0768
                  79            0.612907             2.05716
                  80            0.587785              2.0383
                  81            0.562083             2.02024
                  82            0.535827             2.00299
                  83            0.509041             1.98657
                  84            0.481754             1.97101
                  85             0.45399             1.95631
                  86            0.425779             1.94249
                  87            0.397148             1.92956
                  88            0.368125             1.91754
                  89            0.338738             1.90643
                  90            0.309017             1.89626
                  91            0.278991             1.88702
                  92             0.24869             1.87873
                  93            0.218143              1.8714
                  94            0.187381             1.86503
                  95            0.156434             1.85963
                  96            0.125333              1.8552
                  97           0.0941083             1.85175
                  98           0.0627905             1.84929
                  99                   0             1.84732
