            Interval              Radial            Vertical
                   0                   0             2.41697
                   0                   0             2.41697
                   1           0.0314108             2.41648
                   2           0.0627905               2.415
                   3           0.0941083             2.41253
                   4            0.125333             2.40909
                   5            0.156434             2.40466
                   6            0.187381             2.39926
                   7            0.218143             2.39289
                   8             0.24869             2.38555
                   9            0.278991             2.37727
                  10            0.309017             2.36803
                  11            0.338738             2.35785
                  12            0.368125             2.34675
                  13            0.397148             2.33473
                  14            0.425779              2.3218
                  15             0.45399             2.30798
                  16            0.481754             2.29328
                  17            0.509041             2.27771
                  18            0.535827              2.2613
                  19            0.562083             2.24405
                  20            0.587785             2.22599
                  21            0.612907             2.20713
                  22            0.637424             2.18748
                  23            0.661312             2.16708
                  24            0.684547             2.14594
                  25            0.707107             2.12408
                  26            0.728969             2.10152
                  27            0.750111             2.07828
                  28            0.770513              2.0544
                  29            0.790155             2.02988
                  30            0.809017             2.00476
                  31            0.827081             1.97905
                  32            0.844328              1.9528
                  33            0.860742             1.92601
                  34            0.876307             1.89873
                  35            0.891007             1.87096
                  36            0.904827             1.84275
                  37            0.917755             1.81412
                  38            0.929776              1.7851
                  39            0.940881             1.75571
                  40            0.951057             1.72599
                  41            0.960294             1.69596
                  42            0.968583             1.66566
                  43            0.975917             1.63511
                  44            0.982287             1.60435
                  45            0.987688             1.57341
                  46            0.992115              1.5423
                  47            0.995562             1.51108
                  48            0.998027             1.47976
                  49            0.999507             1.44838
                  50                   1             1.41697
                  51            0.999507             1.38556
                  52            0.998027             1.35418
                  53            0.995562             1.32286
                  54            0.992115             1.29164
                  55            0.987688             1.26054
                  56            0.982287             1.22959
                  57            0.975917             1.19883
                  58            0.968583             1.16828
                  59            0.960294             1.13798
                  60            0.951057             1.10795
                  61            0.940881             1.07823
                  62            0.929776             1.04885
                  63            0.917755             1.01982
                  64            0.904827            0.991192
                  65            0.891007            0.962981
                  66            0.876307            0.935218
                  67            0.860742             0.90793
                  68            0.844328            0.881145
                  69            0.827081            0.854888
                  70            0.809017            0.829186
                  71            0.790155            0.804064
                  72            0.770513            0.779547
                  73            0.750111            0.755659
                  74            0.728969            0.732424
                  75            0.707107            0.709865
                  76            0.684547            0.688003
                  77            0.661312             0.66686
                  78            0.637424            0.646458
                  79            0.612907            0.626816
                  80            0.587785            0.607954
                  81            0.562083            0.589891
                  82            0.535827            0.572643
                  83            0.509041            0.556229
                  84            0.481754            0.540665
                  85             0.45399            0.525965
                  86            0.425779            0.512144
                  87            0.397148            0.499217
                  88            0.368125            0.487195
                  89            0.338738            0.476091
                  90            0.309017            0.465915
                  91            0.278991            0.456678
                  92             0.24869            0.448388
                  93            0.218143            0.441055
                  94            0.187381            0.434684
                  95            0.156434            0.429283
                  96            0.125333            0.424857
                  97           0.0941083            0.421409
                  98           0.0627905            0.418945
                  99                   0            0.416971
