            Interval              Radial            Vertical
                   0                   0            -4.43133
                   0                   0            -4.43133
                   1           0.0314108            -4.43182
                   2           0.0627905             -4.4333
                   3           0.0941083            -4.43577
                   4            0.125333            -4.43922
                   5            0.156434            -4.44364
                   6            0.187381            -4.44904
                   7            0.218143            -4.45541
                   8             0.24869            -4.46275
                   9            0.278991            -4.47104
                  10            0.309017            -4.48028
                  11            0.338738            -4.49045
                  12            0.368125            -4.50156
                  13            0.397148            -4.51358
                  14            0.425779             -4.5265
                  15             0.45399            -4.54033
                  16            0.481754            -4.55502
                  17            0.509041            -4.57059
                  18            0.535827              -4.587
                  19            0.562083            -4.60425
                  20            0.587785            -4.62231
                  21            0.612907            -4.64118
                  22            0.637424            -4.66082
                  23            0.661312            -4.68122
                  24            0.684547            -4.70236
                  25            0.707107            -4.72422
                  26            0.728969            -4.74678
                  27            0.750111            -4.77002
                  28            0.770513            -4.79391
                  29            0.790155            -4.81842
                  30            0.809017            -4.84355
                  31            0.827081            -4.86925
                  32            0.844328             -4.8955
                  33            0.860742            -4.92229
                  34            0.876307            -4.94958
                  35            0.891007            -4.97734
                  36            0.904827            -5.00555
                  37            0.917755            -5.03418
                  38            0.929776            -5.06321
                  39            0.940881            -5.09259
                  40            0.951057            -5.12231
                  41            0.960294            -5.15234
                  42            0.968583            -5.18264
                  43            0.975917            -5.21319
                  44            0.982287            -5.24395
                  45            0.987688             -5.2749
                  46            0.992115              -5.306
                  47            0.995562            -5.33722
                  48            0.998027            -5.36854
                  49            0.999507            -5.39992
                  50                   1            -5.43133
                  51            0.999507            -5.46274
                  52            0.998027            -5.49412
                  53            0.995562            -5.52544
                  54            0.992115            -5.55666
                  55            0.987688            -5.58777
                  56            0.982287            -5.61871
                  57            0.975917            -5.64947
                  58            0.968583            -5.68002
                  59            0.960294            -5.71032
                  60            0.951057            -5.74035
                  61            0.940881            -5.77007
                  62            0.929776            -5.79946
                  63            0.917755            -5.82848
                  64            0.904827            -5.85711
                  65            0.891007            -5.88532
                  66            0.876307            -5.91309
                  67            0.860742            -5.94037
                  68            0.844328            -5.96716
                  69            0.827081            -5.99341
                  70            0.809017            -6.01912
                  71            0.790155            -6.04424
                  72            0.770513            -6.06876
                  73            0.750111            -6.09264
                  74            0.728969            -6.11588
                  75            0.707107            -6.13844
                  76            0.684547             -6.1603
                  77            0.661312            -6.18144
                  78            0.637424            -6.20184
                  79            0.612907            -6.22149
                  80            0.587785            -6.24035
                  81            0.562083            -6.25841
                  82            0.535827            -6.27566
                  83            0.509041            -6.29207
                  84            0.481754            -6.30764
                  85             0.45399            -6.32234
                  86            0.425779            -6.33616
                  87            0.397148            -6.34909
                  88            0.368125            -6.36111
                  89            0.338738            -6.37221
                  90            0.309017            -6.38239
                  91            0.278991            -6.39163
                  92             0.24869            -6.39991
                  93            0.218143            -6.40725
                  94            0.187381            -6.41362
                  95            0.156434            -6.41902
                  96            0.125333            -6.42345
                  97           0.0941083            -6.42689
                  98           0.0627905            -6.42936
                  99                   0            -6.43133
