            Interval              Radial            Vertical
                   0                   0            -3.15564
                   0                   0            -3.15564
                   1           0.0314108            -3.15613
                   2           0.0627905            -3.15761
                   3           0.0941083            -3.16008
                   4            0.125333            -3.16353
                   5            0.156434            -3.16795
                   6            0.187381            -3.17335
                   7            0.218143            -3.17972
                   8             0.24869            -3.18706
                   9            0.278991            -3.19535
                  10            0.309017            -3.20459
                  11            0.338738            -3.21476
                  12            0.368125            -3.22587
                  13            0.397148            -3.23789
                  14            0.425779            -3.25081
                  15             0.45399            -3.26464
                  16            0.481754            -3.27933
                  17            0.509041             -3.2949
                  18            0.535827            -3.31131
                  19            0.562083            -3.32856
                  20            0.587785            -3.34662
                  21            0.612907            -3.36549
                  22            0.637424            -3.38513
                  23            0.661312            -3.40553
                  24            0.684547            -3.42667
                  25            0.707107            -3.44853
                  26            0.728969            -3.47109
                  27            0.750111            -3.49433
                  28            0.770513            -3.51822
                  29            0.790155            -3.54273
                  30            0.809017            -3.56786
                  31            0.827081            -3.59356
                  32            0.844328            -3.61981
                  33            0.860742             -3.6466
                  34            0.876307            -3.67389
                  35            0.891007            -3.70165
                  36            0.904827            -3.72986
                  37            0.917755            -3.75849
                  38            0.929776            -3.78752
                  39            0.940881             -3.8169
                  40            0.951057            -3.84662
                  41            0.960294            -3.87665
                  42            0.968583            -3.90695
                  43            0.975917             -3.9375
                  44            0.982287            -3.96826
                  45            0.987688            -3.99921
                  46            0.992115            -4.03031
                  47            0.995562            -4.06153
                  48            0.998027            -4.09285
                  49            0.999507            -4.12423
                  50                   1            -4.15564
                  51            0.999507            -4.18705
                  52            0.998027            -4.21843
                  53            0.995562            -4.24975
                  54            0.992115            -4.28097
                  55            0.987688            -4.31208
                  56            0.982287            -4.34302
                  57            0.975917            -4.37378
                  58            0.968583            -4.40433
                  59            0.960294            -4.43463
                  60            0.951057            -4.46466
                  61            0.940881            -4.49438
                  62            0.929776            -4.52377
                  63            0.917755            -4.55279
                  64            0.904827            -4.58142
                  65            0.891007            -4.60963
                  66            0.876307             -4.6374
                  67            0.860742            -4.66468
                  68            0.844328            -4.69147
                  69            0.827081            -4.71772
                  70            0.809017            -4.74343
                  71            0.790155            -4.76855
                  72            0.770513            -4.79307
                  73            0.750111            -4.81695
                  74            0.728969            -4.84019
                  75            0.707107            -4.86275
                  76            0.684547            -4.88461
                  77            0.661312            -4.90575
                  78            0.637424            -4.92615
                  79            0.612907             -4.9458
                  80            0.587785            -4.96466
                  81            0.562083            -4.98272
                  82            0.535827            -4.99997
                  83            0.509041            -5.01638
                  84            0.481754            -5.03195
                  85             0.45399            -5.04665
                  86            0.425779            -5.06047
                  87            0.397148             -5.0734
                  88            0.368125            -5.08542
                  89            0.338738            -5.09652
                  90            0.309017             -5.1067
                  91            0.278991            -5.11594
                  92             0.24869            -5.12422
                  93            0.218143            -5.13156
                  94            0.187381            -5.13793
                  95            0.156434            -5.14333
                  96            0.125333            -5.14776
                  97           0.0941083             -5.1512
                  98           0.0627905            -5.15367
                  99                   0            -5.15564
